"Sciname","EwE_num","EwE_name","Common","Genus","Species","Key","ID_sp","AspectRatio","CommonLength"
"alopias superciliosus","10","Large oceanic sharks","shark, bigeye thresher","alopias","superciliosus","Fis-23898","Sp_023",2.48568,350
"alopias vulpinus","10","Large oceanic sharks","shark, thresher","alopias","vulpinus","Fis-23899","Sp_027",1.81491,450
"carcharhinus longimanus","10","Large oceanic sharks","oceanic whitetip shark","carcharhinus","longimanus","Fis-23061","Sp_022",2.47044,270
"isurus oxyrinchus","10","Large oceanic sharks","shark, shortfin mako","isurus","oxyrinchus","Fis-58485","Sp_026",3.76133,270
"prionace glauca","10","Large oceanic sharks","blue shark","prionace","glauca","Fis-23222","Sp_021",2.084243333,335
"rhizoprionodon terraenovae","11","Atlantic sharpnose shark","atlantic sharpnose shark","rhizoprionodon","terraenovae","Fis-23244","Sp_029",1.55083,70
"carcharhinus porosus","12","Small coastal sharks","smalltail shark","carcharhinus","porosus","Fis-23067","Sp_035",2.01366,90
"mustelus canis","12","Small coastal sharks","smooth dogfish","mustelus","canis","Fis-24132","Sp_036",1.12661,100
"mustelus norrisi","12","Small coastal sharks","florida smoothhound","mustelus","norrisi","Fis-30325","Sp_034",0.899067,80
"thunnus albacares","13","Yellowfin tuna","tuna, yellowfin","thunnus","albacares","Fis-22833","Sp_046",6.01356,150
"thunnus thynnus","14","Bluefin tuna","bluefin tuna","thunnus","thynnus","Fis-49220","Sp_047",6.34195,200
"katsuwonus pelamis","15","Other tunas","skipjack tuna","katsuwonus","pelamis","Fis-22777","Sp_052",6.49814,80
"thunnus atlanticus","15","Other tunas","blackfin tuna","thunnus","atlanticus","Fis-22834","Sp_051",5.80817,72
"istiophorus albicans","16","Billfish","atlantic sailfish","istiophorus","albicans","Fis-22765","Sp_055",8.5019,240
"istiophorus platypterus","16","Billfish","sailfish","istiophorus","platypterus","Fis-22766","Sp_054",5.92139,270
"makaira nigricans","16","Billfish","blue marlin","makaira","nigricans","Fis-29447","Sp_053",7.829445,290
"xiphias gladius","17","Swordfish","swordfish","xiphias","gladius","Fis-29576","Sp_056",7.052415,300
"ablennes hians","18","Pelagic coastal piscivores","flat needlefish","ablennes","hians","Fis-22975","Sp_077",1.98231,70
"acanthocybium solandri","18","Pelagic coastal piscivores","wahoo","acanthocybium","solandri","Fis-22735","Sp_092",5.61927,170
"auxis thazard","18","Pelagic coastal piscivores","frigate mackerel","auxis","thazard","Fis-22739","Sp_078",5.799133333,60
"carangoides bartholomaei","18","Pelagic coastal piscivores","yellow jack","carangoides","bartholomaei","Fis-13595","Sp_095",3.61365,50
"caranx crysos","18","Pelagic coastal piscivores","blue runner","caranx","crysos","Fis-23414","Sp_067",3.36228,40
"caranx hippos","18","Pelagic coastal piscivores","crevalle jack","caranx","hippos","Fis-22744","Sp_075",3.41328,75
"caranx latus","18","Pelagic coastal piscivores","horse-eye jack","caranx","latus","Fis-22184","Sp_079",3.5336,60
"caranx lugubris","18","Pelagic coastal piscivores","black jack","caranx","lugubris","Fis-22185","Sp_066",6.26087,70
"caranx ruber","18","Pelagic coastal piscivores","bar jack","caranx","ruber","Fis-23428","Sp_064",4.22826,50
"centropomus pectinatus","18","Pelagic coastal piscivores","tarpon snook","centropomus","pectinatus","Fis-29788","Sp_090",1.05246,40
"centropomus undecimalis","18","Pelagic coastal piscivores","common snook","centropomus","undecimalis","Fis-22857","Sp_074",1.90693,50
"coryphaena equiselis","18","Pelagic coastal piscivores","pompano dolphinfish","coryphaena","equiselis","Fis-29358","Sp_100",3.913205,50
"coryphaena hippurus","18","Pelagic coastal piscivores","dolphin","coryphaena","hippurus","Fis-22215","Sp_076",2.235185,100
"echeneis neucratoides","18","Pelagic coastal piscivores","whitefin sharksucker","echeneis","neucratoides","Fis-29927","Sp_093",0.27624,50
"elagatis bipinnulata","18","Pelagic coastal piscivores","rainbow runner","elagatis","bipinnulata","Fis-47571","Sp_085",3.29454,90
"elops saurus","18","Pelagic coastal piscivores","ladyfish","elops","saurus","Fis-29369","Sp_081",0.899151,60
