Sciname,Group,Common,EwE_name,EwE_num,AspectRatio,CommonLength,Swim_mode,Base_rate,Scaled_RD,Scaled_SS,Scaler_Snook,Scaled_avg,Scaler_sd
carcharhinus limbatus,blacktip shark,"SHARK, BLACKTIP",Blacktip shark,06,2.00046,150,1,22.44601,461,404,401,422,11
carcharhinus obscurus,dusky shark,DUSKY SHARK,Dusky shark,07,3.36021,250,1,36.89214,757,665,658,693,19
carcharhinus plumbeus,sandbar shark,"SHARK, SANDBAR",Sandbar shark,08,3.17828,200,1,31.51232,647,568,562,592,16
carcharhinus altimus,large coastal sharks,BIGNOSE SHARK,Large coastal sharks,09,2.51961,250,1,33.37698,685,601,596,627,17
carcharhinus brevipinna,large coastal sharks,"SHARK, SPINNER",Large coastal sharks,09,5.87939,250,1,44.81644,920,807,800,842,23
carcharhinus falciformis,large coastal sharks,SILKY SHARK,Large coastal sharks,09,2.02629,250,1,30.94101,635,557,552,582,16
carcharhinus leucas,large coastal sharks,BULL SHARK,Large coastal sharks,09,1.44355,260,1,28.17526,578,508,503,530,14
carcharhinus signatus,large coastal sharks,NIGHT SHARK,Large coastal sharks,09,1.63793,200,1,25.02362,514,451,447,470,13
carcharias taurus,large coastal sharks,SAND TIGER,Large coastal sharks,09,1.61427,250,1,28.58889,587,515,510,537,14
galeocerdo cuvier,large coastal sharks,TIGER SHARK,Large coastal sharks,09,1.38594,500,1,41.65633,855,750,744,783,21
hexanchus griseus,large coastal sharks,SIXGILL SHARK,Large coastal sharks,09,1.56998,300,1,31.69976,651,571,566,596,16
negaprion brevirostris,large coastal sharks,"SHARK, LEMON",Large coastal sharks,09,1.07344,240,1,24.18708,497,436,432,455,12
sphyrna lewini,large coastal sharks,SCALLOPED HAMMERHEAD,Large coastal sharks,09,1.80809,360,1,37.27745,765,672,665,701,19
sphyrna mokarran,large coastal sharks,GREAT HAMMERHEAD,Large coastal sharks,09,1.85353,370,1,38.24442,785,689,683,719,19
alopias superciliosus,large oceanic sharks,BIGEYE THRESHER,Large oceanic sharks,10,2.48568,350,1,40.92045,840,737,730,769,21
alopias vulpinus,large oceanic sharks,COMMON THRESHER SHARK,Large oceanic sharks,10,1.81491,450,1,42.8608,880,772,765,806,22
carcharhinus longimanus,large oceanic sharks,OCEANIC WHITETIP SHARK,Large oceanic sharks,10,2.47044,270,1,34.76801,714,626,621,654,18
isurus oxyrinchus,large oceanic sharks,"SHARK, SHORTFIN MAKO",Large oceanic sharks,10,3.76133,270,1,40.24174,826,725,718,756,20
prionace glauca,large oceanic sharks,BLUE SHARK,Large oceanic sharks,10,2.08424,335,1,37.4583,769,675,669,704,19
rhizoprionodon terraenovae,atlantic sharpnose shark,ATLANTIC SHARPNOSE SHARK,Atlantic sharpnose shark,11,1.55083,70,1,12.81153,263,231,229,241,6
carcharhinus porosus,small coastal sharks,SMALLTAIL SHARK,Small coastal sharks,12,2.01366,90,1,16.39363,337,295,293,308,8
mustelus canis,small coastal sharks,SMOOTH DOGFISH,Small coastal sharks,12,1.12661,100,1,14.29904,294,258,255,269,7
mustelus norrisi,small coastal sharks,FLORIDA SMOOTHHOUND,Small coastal sharks,12,0.89907,80,1,11.51287,236,207,205,216,6
sphyrna tiburo,small coastal sharks,"SHARK, BONNETHEAD",Small coastal sharks,12,1.7744,80,1,14.58393,299,263,260,274,7
thunnus albacares,yellowfin tuna,YELLOWFIN TUNA,Yellowfin tuna,13,6.01356,150,1,32.91457,676,593,587,619,17
thunnus thynnus,bluefin tuna,"TUNA, BLUEFIN",Bluefin tuna,14,6.34195,200,1,40.0711,823,722,715,753,20
katsuwonus pelamis,other tuna,SKIPJACK TUNA,Other tunas,15,6.49814,80,1,22.90565,470,413,409,431,12
thunnus atlanticus,other tuna,BLACKFIN TUNA,Other tunas,15,5.80817,72,1,20.6365,424,372,368,388,10
istiophorus albicans,billfish,ATLANTIC SAILFISH,Billfish,16,8.5019,240,1,49.67805,1020,895,887,934,25
istiophorus platypterus,billfish,INDO-PACIFIC SAILFISH,Billfish,16,5.92139,270,1,47.12181,967,849,841,886,24
makaira nigricans,billfish,BLUE MARLIN,Billfish,16,7.82945,290,1,54.2802,1114,978,969,1020,27
tetrapturus pfluegeri,billfish,LONGBILL SPEARFISH,Billfish,16,6.41985,165,1,35.7199,733,644,638,671,18
xiphias gladius,swordfish,SWORDFISH,Swordfish,17,7.05242,300,1,53.45351,1097,963,954,1005,27
ablennes hians,pelagic coastal piscivores,FLAT NEEDLEFISH,Pelagic coastal piscivores,18,1.98231,70,1,13.95337,286,251,249,262,7
acanthocybium solandri,pelagic coastal piscivores,WAHOO,Pelagic coastal piscivores,18,5.61927,170,1,34.7396,713,626,620,653,18
auxis thazard,pelagic coastal piscivores,FRIGATE MACKEREL,Pelagic coastal piscivores,18,5.79913,60,1,18.42215,378,332,329,346,9
carangoides bartholomaei,pelagic coastal piscivores,YELLOW JACK,Pelagic coastal piscivores,18,3.61365,50,1,13.95839,287,251,249,262,7
caranx crysos,pelagic coastal piscivores,"RUNNER, BLUE",Pelagic coastal piscivores,18,3.36228,40,1,11.85495,243,214,212,223,6
caranx hippos,pelagic coastal piscivores,CREVALLE JACK,Pelagic coastal piscivores,18,3.41328,75,1,17.5924,361,317,314,331,9
caranx latus,pelagic coastal piscivores,"JACK, HORSE-EYE",Pelagic coastal piscivores,18,3.5336,60,1,15.50645,318,279,277,291,8
caranx lugubris,pelagic coastal piscivores,BLACK JACK,Pelagic coastal piscivores,18,6.26087,70,1,20.81576,427,375,372,391,11
caranx ruber,pelagic coastal piscivores,BAR JACK,Pelagic coastal piscivores,18,4.22826,50,1,14.74215,303,266,263,277,7
centropomus pectinatus,coastal piscivores,TARPON SNOOK,Pelagic coastal piscivores,18,1.05246,40,0,1.48717,31,27,27,28,1
centropomus undecimalis,coastal piscivores,SNOOK,Pelagic coastal piscivores,18,1.90693,50,0,2.09982,43,38,37,39,1
coryphaena equiselis,pelagic coastal piscivores,POMPANO DOLPHINFISH,Pelagic coastal piscivores,18,3.91321,50,1,14.35042,295,259,256,270,7
coryphaena hippurus,pelagic coastal piscivores,COMMON DOLPHINFISH,Pelagic coastal piscivores,18,2.23519,100,1,18.14643,373,327,324,341,9
echeneis neucratoides,pelagic coastal piscivores,WHITEFIN SHARKSUCKER,Pelagic coastal piscivores,18,0.27624,50,1,5.7077,117,103,102,107,3
elagatis bipinnulata,pelagic coastal piscivores,RAINBOW RUNNER,Pelagic coastal piscivores,18,3.29454,90,0,3.65542,75,66,65,69,2
elops saurus,coastal piscivores,LADYFISH,Pelagic coastal piscivores,18,0.89915,60,1,9.63353,198,174,172,181,5
euthynnus alletteratus,pelagic coastal piscivores,LITTLE TUNNY,Pelagic coastal piscivores,18,4.18356,80,1,19.65297,403,354,351,369,10
hemicaranx amblyrhynchus,pelagic coastal piscivores,BLUNTNOSE JACK,Pelagic coastal piscivores,18,2.61853,25,1,8.12202,167,146,145,153,4
lobotes surinamensis,pelagic coastal piscivores,TRIPLETAIL,Pelagic coastal piscivores,18,1.70522,80,1,14.38361,295,259,257,270,7
megalops atlanticus,coastal piscivores,TARPON,Pelagic coastal piscivores,18,1.91985,130,0,3.80469,78,69,68,72,2
morone saxatilis,coastal piscivores,STRIPED BASS,Pelagic coastal piscivores,18,1.88595,120,0,3.59824,74,65,64,68,2
naucrates ductor,pelagic coastal piscivores,PILOT FISH,Pelagic coastal piscivores,18,2.97237,40,0,2.13394,44,38,38,40,1
pomatomus saltatrix,pelagic coastal piscivores,BLUEFISH,Pelagic coastal piscivores,18,2.39048,60,0,2.54319,52,46,45,48,1
remora brachyptera,pelagic coastal piscivores,SPEARFISH REMORA,Pelagic coastal piscivores,18,1.05616,25,0,1.1128,23,20,20,21,1
remora remora,pelagic coastal piscivores,REMORA,Pelagic coastal piscivores,18,1.32447,40,0,1.61095,33,29,29,30,1
sarda sarda,pelagic coastal piscivores,ATLANTIC BONITO,Pelagic coastal piscivores,18,5.75763,50,1,16.41325,337,296,293,309,8
seriola rivoliana,pelagic coastal piscivores,ALMACO JACK,Pelagic coastal piscivores,18,3.74422,90,1,20.3406,418,366,363,382,10
seriola zonata,pelagic coastal piscivores,BANDED RUDDERFISH,Pelagic coastal piscivores,18,2.36285,50,1,12.04101,247,217,215,226,6
strongylura marina,pelagic coastal piscivores,"NEEDLEFISH, ATLANTIC",Pelagic coastal piscivores,18,1.34209,60,0,2.08058,43,37,37,39,1
strongylura timucu,pelagic coastal piscivores,TIMUCU,Pelagic coastal piscivores,18,0.47783,35,0,1.04029,21,19,19,20,1
tylosurus crocodilus,pelagic coastal piscivores,HOUNDFISH,Pelagic coastal piscivores,18,2.05648,90,0,3.1028,64,56,55,58,2
seriola dumerili,amberjacks,"AMBERJACK, GREATER",Amberjack,19,2.83157,100,1,19.70222,404,355,352,370,10
seriola fasciata,amberjacks,"AMBERJACK, LESSER",Amberjack,19,3.90277,50,1,14.3371,294,258,256,270,7
rachycentron canadum,cobia,COBIA,Cobia,20,0.98748,110,1,14.48916,297,261,259,272,7
scomberomorus cavalla,0-3 king mackerel,KING MACKEREL (JUVENILE),King mackerel (1+yr),"21,22",5.81506,70,1,20.28779,416,366,362,381,10
pristis pectinata,skates-rays,SMALLTOOTH SAWFISH,Skates-rays,25,1.11582,550,1,40.98094,841,738,731,770,21
pristis pristis,skates-rays,LARGETOOTH SAWFISH,Skates-rays,25,1.11582,250,1,25.14299,516,453,449,473,13
mycteroperca microlepis,0-3 gag grouper,GAG GROUPER (AGE 0-3),Gag grouper (0-3yr),"26,27",1.43463,50,0,1.90194,39,34,34,36,1
epinephelus morio,red grouper,"GROUPER, RED",Red grouper (0-3yr),"28,29",1.18561,50,0,1.77991,37,32,32,33,1
hyporthodus flavolimbatus,0-3 yellowedge grouper,YELLOWEDGE GROUPER (AGE 0-3),Yellowedge grouper (0-3yr),"30,31",1.24217,50,0,1.809,37,33,32,34,1
epinephelus itajara,goliath grouper,GOLIATH GROUPER,Goliath grouper,32,1.18781,150,0,3.51806,72,63,63,66,2
hyporthodus niveatus,deep-water grouper,SNOWY GROUPER,Deep-water grouper,33,1.26203,60,0,2.03655,42,37,36,38,1
cephalopholis cruentata,shallow-water grouper,GRAYSBY,Shallow-water grouper,34,2.42931,20,0,1.29476,27,23,23,24,1
epinephelus adscensionis,shallow-water grouper,"HIND, ROCK",Shallow-water grouper,34,1.19982,35,0,1.43292,29,26,26,27,1
epinephelus guttatus,shallow-water grouper,"HIND, RED",Shallow-water grouper,34,0.97658,40,0,1.44896,30,26,26,27,1
mycteroperca bonaci,shallow-water grouper,"GROUPER, BLACK",Shallow-water grouper,34,1.52446,70,0,2.39282,49,43,43,45,1
mycteroperca interstitialis,shallow-water grouper,YELLOWMOUTH GROUPER,Shallow-water grouper,34,1.27519,40,0,1.58984,33,29,28,30,1
mycteroperca phenax,shallow-water grouper,SCAMP,Shallow-water grouper,34,1.50803,30,0,1.41018,29,25,25,27,1
mycteroperca tigris,shallow-water grouper,TIGER GROUPER,Shallow-water grouper,34,1.39914,40,0,1.64198,34,30,29,31,1
mycteroperca venenosa,shallow-water grouper,YELLOWFIN GROUPER,Shallow-water grouper,34,1.3252,50,0,1.85017,38,33,33,35,1
lutjanus campechanus,red snapper,RED SNAPPER,Red snapper (0yr),"35,36,37",1.43242,60,0,2.12826,44,38,38,40,1
rhomboplites aurorubens,vermilion snapper,VERMILION SNAPPER,Vermilion snapper,38,2.772,35,0,1.91738,39,35,34,36,1
lutjanus analis,mutton snapper,MUTTON SNAPPER,Mutton snapper,39,1.6903,50,0,2.01357,41,36,36,38,1
apsilus dentatus,other snapper,BLACK SNAPPER,Other snapper,40,2.06907,40,0,1.88132,39,34,34,35,1
etelis oculatus,other snapper,"SNAPPER, QUEEN",Other snapper,40,1.458,64,0,2.22876,46,40,40,42,1
lutjanus buccanella,other snapper,"SNAPPER, BLACKFIN",Other snapper,40,1.0181,50,0,1.68807,35,30,30,32,1
lutjanus cyanopterus,other snapper,"SNAPPER, CUBERA",Other snapper,40,2.25197,90,0,3.20236,66,58,57,60,2
lutjanus griseus,other snapper,GRAY SNAPPER,Other snapper,40,1.77717,40,0,1.7844,37,32,32,34,1
lutjanus jocu,other snapper,DOG SNAPPER,Other snapper,40,1.38693,60,0,2.1045,43,38,38,40,1
lutjanus mahogoni,other snapper,"SNAPPER, MAHOGANY",Other snapper,40,2.01138,38,0,1.80463,37,33,32,34,1
lutjanus purpureus,other snapper,SNAPPER CARIBBEAN RED,Other snapper,40,1.58402,65,0,2.3161,48,42,41,44,1
lutjanus vivanus,other snapper,"SNAPPER, SILK",Other snapper,40,0.59401,45,0,1.31116,27,24,23,25,1
pristipomoides aquilonaris,other snapper,WENCHMAN,Other snapper,40,3.31596,20,0,1.44273,30,26,26,27,1
