"EwE_num","EwE_name","Scaled_dispersal","n_spp","SD"
"06","Blacktip shark",422,1,NA
"07","Dusky shark",693,1,NA
"08","Sandbar shark",592,1,NA
"09","Large coastal sharks",622,11,126.076960623264
"10","Large oceanic sharks",737.8,5,59.4154861967821
"11","Atlantic sharpnose shark",241,1,NA
"12","Small coastal sharks",266.75,4,38.0120594899391
"13","Yellowfin tuna",619,1,NA
"14","Bluefin tuna",753,1,NA
"15","Other tunas",409.5,2,30.4055915910215
"16","Billfish",877.75,4,148.562837434759
"17","Swordfish",1005,1,NA
"18","Pelagic coastal piscivores",199.225806451613,31,154.091035793222
"19","Amberjack",320,2,70.7106781186548
"20","Cobia",272,1,NA
"21,22","King mackerel (1+yr)",381,1,NA
"25","Skates-rays",621.5,2,210.010714012405
"26,27","Gag grouper (0-3yr)",36,1,NA
"28,29","Red grouper (0-3yr)",33,1,NA
"30,31","Yellowedge grouper (0-3yr)",34,1,NA
"32","Goliath grouper",66,1,NA
"33","Deep-water grouper",38,1,NA
"34","Shallow-water grouper",30.75,8,6.64938235584973
"35,36,37","Red snapper (0yr)",40,1,NA
"38","Vermilion snapper",36,1,NA
"39","Mutton snapper",38,1,NA
"40","Other snapper",37.3,10,10.0116598690394
"42","Sea trout",28.6,5,5.02991053598372
"43","Oceanic piscivores",54.5,8,32.1203095519686
"44","Benthic piscivores",26.2,10,5.37070241629942
"45","Reef piscivores",40.6666666666667,6,22.4023808258557
"46","Reef invertebrate feeders",27.1276595744681,47,8.15773045291769
"47","Demersal coastal invertebrate feeders",44,39,64.3869878976049
"48","Red drum",56,1,NA
"49","Benthic coastal invertebrate feeders",17.4285714285714,21,7.3387425937379
"50","Tilefish",38,5,7.96868872525461
"51","Gray triggerfish",34,1,NA
"52","Coastal omnivores",23.4736842105263,19,9.92398005424029
"53","Reef omnivores",25.9090909090909,22,8.72276218216341
"54","Surface pelagics",135.333333333333,12,41.9617430380088
"55","Large oceanic planktivores",1285,1,NA
"57","Sardine-herring-scad",135.571428571429,14,43.9942553692469
"58,59,60,61,62","Menhaden (0yr)",110,1,NA
"63","Anchovy-silverside-killifish",61.6363636363636,11,17.1538492897234
"64","Mullet",30,3,11.5325625946708
"65","Butterfish",24.5,2,2.12132034355964
