EwE_num,EwE_name,no_lower_limit,min,q1,q2,max,n_spp,Notes
6,Blacktip shark,n,0,25,75,100,2,
7,Dusky shark,n,5,100,300,400,2,
8,Sandbar shark,n,5,125,375,500,2,
9,Lrg. coastal sharks,n,0,10,100,200,19,
10,Lrg. oceanic sharks,n,20,200,551,734,10,
11,Atl. sharpnose shark,n,0,40,210,280,2,
12,Small coastal sharks,y,0,0,50,181,7,
13,Yellowfin tuna,n,10,40,120,250,2,"Thunnus albacares depth range 1 - 250 m (Ref. 6390), usually 1 - 100 m  https://www.fishbase.se/summary/SpeciesSummary.php?ID=143&AT=yellowfin+tuna"
14,Bluefin tuna,n,10,40,120,985,3,"depth range 0 - 985 m (Ref. 55291), usually 0 - 100 m. https://www.fishbase.se/summary/SpeciesSummary.php?ID=147&AT=bluefin+tuna"
15,Other tunas,n,10,65,195,260,1,
16,Billfish,n,40,50,150,200,6,
17,Swordfish,n,40,100,600,2878,1,
18,Pelagic coastal piscivores,y,0,10,20,100,45,
19,Amberjack,n,3,18,72,360,4,"For greater AJ. Seriola dumerili. depth range 1 - 360 m (Ref. 11441), usually 18 - 72 m (Ref. 9626). https://www.fishbase.se/summary/SpeciesSummary.php?ID=1005&AT=amberjack"
21,King mackerel (0-1yr),n,5,10,30,140,1,"Scomberomorus cavalla. Depth range 5 - 140 m (Ref. 36484), usually 5 - 15 m (Ref. 40849). https://www.fishbase.se/summary/SpeciesSummary.php?ID=120&AT=king+mackerel"
22,King mackerel (1+yr),n,5,10,30,140,1,
23,Spanish mackerel (0-1yr),n,5,10,30,60,2,
24,Spanish mackerel (1+yr),n,5,16,30,60,2,
25,Skates-rays,y,0,33,93,200,18,
26,Gag grouper (0-3yr),n,0,20,40,80,2,
27,Gag grouper (3+yr),n,10,62,128,160,1,
28,Red grouper (0-3yr),n,0,20,40,60,3,
28,Red grouper (3+yr),n,10,62,128,160,1,
30,Yellowedge grouper (0-3yr),n,90,158,292,360,1,
31,Yellowedge grouper (3+yr),n,90,158,292,360,1,
32,Goliath grouper,n,2,25,75,120,3,
33,Deep-water grouper,n,38,149,372,483,3,
34,Shallow-water grouper,n,0,10,40,80,15,
35,Red snapper (0yr),n,0,5,30,60,3,"Broken in to groups based on expert opinion. Fishbase: Marine; reef-associated; depth range 10 - 190 m (Ref. 55), usually 30 - 130 m (Ref. 55). https://www.fishbase.se/summary/SpeciesSummary.php?ID=1423&AT=red+snapper"
36,Red snapper (1-2yr),n,5,20,80,120,1,
37,Red snapper (3+yr),n,20,55,145,190,1,
38,Vermilion snapper,n,25,40,100,300,2,"depth range 40 - 300 m (Ref. 9626), usually 40 - 100 m (Ref. 9626). https://www.fishbase.se/summary/SpeciesSummary.php?ID=213&AT=vermillion+snapper"
39,Mutton snapper,n,0,30,78,95,2,
40,Other snapper,y,0,83,170,214,18,
41,Inshore coastal piscivores,y,0,0,5,25,3,
42,Sea trout,y,0,0,5,15,4,
43,Oceanic piscivores,n,32,255,701,924,12,
44,Benthic piscivores,n,5,102,288,381,17,
45,Reef piscivores,n,5,32,86,113,18,
46,Reef invert. fdrs.,n,5,39,93,120,95,
47,Dem. cstl. invrt. fdrs.,y,0,0,20,50,39,
49,Bnthc. cstl. invrt. fdrs.,y,0,0,20,207,53,
50,Tilefish,n,49,124,273,500,10,
51,Gray triggerfish,n,0,25,75,100,2,
