EwE_num,EwE_name,Adj_notes,N_spp,N_hspn,Pelagic,DepthMin,DepthPrefMin,DepthPrefMax,DepthMax,TempMin,TempPrefMin,TempPrefMax,TempMax,SalinityMin,SalinityPrefMin,SalinityPrefMax,SalinityMax,PrimProdMin,PrimProdPrefMin,PrimProdPrefMax,OxyMin,OxyPrefMin,OxyPrefMax,OxyMax,LandDistMin,LandDistPrefMin,LandDistPrefMax,LandDistMax,NMostLat,SMostLat,WMostLong,EMostLong
1,Coastal dolphins,,2,2,0,0,5,40,50,2.8,15.7,28.1,29.5,12.2,32.6,36.5,39.3,-0.4,0.6,19.3,33.7,137.2,267.9,367.2,0,15,401,1681,90,-55.5,-180,99
2,Offshore dolphins,,2,2,0,20,100,6000,6000,2.8,15.7,28.1,29.5,12.2,32.6,36.5,39.3,-0.4,0.6,19.3,33.7,137.2,267.9,367.2,0,15,401,1681,90,-55.5,-180,99
5,Sea turtle,,4,5,0.25,0,17,126,488,7,18.4,28.7,32.9,12.4,32.8,36.5,39.6,-0.5,0.5,16.8,7.1,122.8,254.6,343,1,15,743,1806,65.5,-58.8,-143,26
6,Blacktip shark,,1,1,0,0,1,30,100,12.2,22.4,28.9,33.1,17.9,31.5,36.2,39.2,0.1,1.2,27.8,1.1,71.3,218.6,320.9,0,12,522,2269,45,-38,-180,180
7,Dusky shark,,1,1,0,1,200,400,400,11.2,18.4,28,32.2,21.5,33.3,36.2,39.2,0,1,21.5,1.1,121.7,238.8,298.1,0,13,434,2047,45,-46,-120,156
8,Sandbar shark,,1,1,0,5,20,65,500,11.7,18.4,28.1,32.3,21,32.9,36.4,39.3,-0.3,0.7,22.1,3.1,122.5,240.9,293.2,1,15,383,1880,45,-43,-180,180
9,Large coastal sharks,,11,11,0.09,1,34,219,879,13,20.7,28,32.2,21.2,31.9,36.2,39,-0.2,1.1,27.7,14.6,121.7,233.6,294.4,1,26,406,1418,45.8,-41.6,-139.5,126
10,Large oceanic sharks,,8,8,1,40,200,551,959,5.8,16.3,27.3,31.7,15.1,33.1,36.1,39.1,-0.2,1,19.7,16,131.9,245.2,349.2,1,32,944,2043,60.1,-50.9,-180,180
11,Atlantic sharpnose shark,,2,2,0,0,11,53,240,13.3,23,28.1,32.3,19.7,31.1,35.8,39.1,0.1,1.8,24.8,79.4,156.1,227.4,260.2,1,11,175,439,42,-27.5,-63.5,62
12,Small coastal sharks,,15,37,0,0,39,282,583,10.2,15.9,24.2,29.4,21.9,32.2,35.8,38.4,1.5,4.6,32.3,86.8,160.8,246.1,309.2,2,12,229,570,26.6,-42.7,-56.5,-35
13,Yellowfin tuna,"Thunnus albacares depth range 1 - 250 m (Ref. 6390), usually 1 - 100 m  https://www.fishbase.se/summary/SpeciesSummary.php?ID=143&AT=yellowfin+tuna",1,1,1,10,40,120,250,2.4,19.2,28.3,32.5,4.3,33.8,36.3,39,-0.8,0.2,12.7,1.3,134.8,257.1,358.8,0,108,1390,2440,59,-48,-180,180
14,Bluefin tuna,,2,2,1,25,213,627,1864,1.4,10.4,25.4,30.8,16.3,33.7,36.2,38.5,-0.6,0.4,12.4,15,168.9,251.9,369,0,44,1049,2101,29,-59,-139.5,111
15,Other tunas,,4,4,1,13,61,338,840,5.6,19.4,28.1,32.3,8.8,34.1,36.3,38.6,-0.8,0.2,12.2,19.7,144.5,257.1,370.9,1,87,1232,2277,54.5,-43.3,-160,128.5
16,Billfish,,3,3,1,40,59,208,467,8.8,22.3,28.2,32.4,21.1,33.6,36,38.3,-0.5,0.5,14.9,8.8,128.7,216,304.5,1,90,1365,2000,52,-47.7,-153,126
17,Swordfish,,1,1,1,40,100,600,2878,1.2,17.4,28,32.2,4.3,33.6,36.4,39.9,-0.8,0.2,12.8,0.1,134.7,261.7,408.5,0,108,1458,2510,69,-50,-180,180
18,Pelagic coastal piscivores,,68,100,0.17,0,5,90,190,11.8,19.4,26.7,31.1,21.1,31.7,35.9,38.3,0.6,2.5,29.1,46.7,126.4,236.9,314,1,17,367,925,41.8,-25.3,-76.7,33.8
19,Amberjack,"For greater AJ. Seriola dumerili. depth range 1 - 360 m (Ref. 11441), usually 18 - 72 m (Ref. 9626). https://www.fishbase.se/summary/SpeciesSummary.php?ID=1005&AT=amberjack",3,3,0,10,62,176,438,10.3,17.8,27.9,32.1,21.7,32.8,36.4,38.8,-0.3,1.8,20.4,50.1,136,241.2,277.5,2,16,698,1251,47.7,-38.3,-152.7,115
20,Cobia,,1,1,0,0,10,515,1200,10.7,23,28.8,33,18.9,30.8,36.1,38.7,0.1,2.1,23.9,1.2,147.5,222.4,278.9,0,10,195,620,47,-37,-98,166
21,King mackerel (0-1yr),"Scomberomorus cavalla. Depth range 5 - 140 m (Ref. 36484), usually 5 - 15 m (Ref. 40849). https://www.fishbase.se/summary/SpeciesSummary.php?ID=120&AT=king+mackerel",1,1,0,0,1,10,20,11.5,22,28,32.2,21.5,32.9,36.2,38.3,-0.6,0.5,18.2,137.4,162.4,248.7,311.6,1,14,327,1768,44,-22,-98,-34
22,King mackerel (1+yr),,1,1,0,0,5,40,140,11.5,22,28,32.2,21.5,32.9,36.2,38.3,-0.6,0.5,18.2,137.4,162.4,248.7,311.6,1,14,327,1768,44,-22,-98,-34
23,Spanish mackerel (0-1yr),"Marine; pelagic-neritic; oceanodromous (Ref. 51243); depth range 10 - 35 m (Ref. 26912). Subtropical; 20°C - 30°C (Ref. 54882); 44°N - 19°N, 97°W - 64°W (Ref. 54882)",1,1,0,0,1,10,20,12.5,16,26.8,31,18.9,27.3,36.2,36.7,-0.2,0.8,30.4,138.7,200.7,251.6,278.9,0,6,102,218,44,19,-97,-64
25,Spanish mackerel (1+yr),"Marine; pelagic-neritic; oceanodromous (Ref. 51243); depth range 10 - 35 m (Ref. 26912). Subtropical; 20°C - 30°C (Ref. 54882); 44°N - 19°N, 97°W - 64°W (Ref. 54882)",1,1,0,0,5,20,35,12.5,16,26.8,31,18.9,27.3,36.2,36.7,-0.2,0.8,30.4,138.7,200.7,251.6,278.9,0,6,102,218,44,19,-97,-64
25,Skates-rays,,29,39,0.03,0,5,71,161,12.4,19,26.4,30.6,23.9,30.6,36,38,1.4,5.4,35.4,70.4,146.5,233.5,283.8,1,14,185,475,27.7,-25.6,-67.6,4.6
26,Gag grouper (0-3yr),,1,1,0,0,20,40,80,14.3,22,27.1,31.3,21.6,33.2,36.2,37.7,-0.4,0.6,16.6,152.3,171.8,231.4,267.5,1,9,149,464,40,-27,-98,-38
27,Gag grouper (3+yr),,1,1,0,5,62,128,160,14.3,22,27.1,31.3,21.6,33.2,36.2,37.7,-0.4,0.6,16.6,152.3,171.8,231.4,267.5,1,9,149,464,40,-27,-98,-38
28,Red grouper (0-3yr),,1,1,0,0,20,40,60,14.3,22,27.1,31.3,21.6,33.2,36.2,37.7,-0.4,0.6,16.6,152.3,171.8,231.4,267.5,1,9,149,464,40,-27,-98,-38
28,Red grouper (3+yr),,1,1,0,5,62,128,160,21.4,23.8,28.1,32.3,23.6,34.2,36.5,37.8,-0.6,0.4,14.9,145.5,167.1,242.6,267.5,1,12,197,464,35,-27,-98,-33
"30, 31",Yellowedge grouper,,1,1,0,90,120,216,360,21.4,24.4,28.2,32.4,21.5,32.9,36.2,38.2,-0.7,0.3,21.5,137.7,156.1,251.6,268.8,6,20,211,385,36,-28,-98,-34
32,Goliath grouper,,1,1,0,1,10,46,100,21.7,24.4,28.1,32.3,7.8,28.9,36.4,37.3,-0.3,0.7,33.4,1.4,138.8,220.3,267.5,0,7,96,594,36,-33,-121,12
