"EwE_num","EwE_name","N_spp","N_hspn","Pelagic","DepthMin","DepthPrefMin","DepthPrefMax","DepthMax","TempMin","TempPrefMin","TempPrefMax","TempMax","SalinityMin","SalinityPrefMin","SalinityPrefMax","SalinityMax","PrimProdMin","PrimProdPrefMin","PrimProdPrefMax","OxyMin","OxyPrefMin","OxyPrefMax","OxyMax","LandDistMin","LandDistPrefMin","LandDistPrefMax","LandDistMax","NMostLat","SMostLat","WMostLong","EMostLong"
"01, 02","Coastal dolphins",2,2,0,0,10,750,6000,2.75,15.67,28.09,29.45,12.23,32.58,36.48,39.25,-0.38,0.62,19.31,33.69,137.2,267.92,367.23,0,15,400.5,1681,90,-55.5,-180,99
"5","Sea turtle",4,5,0.25,0,16.75,125.62,487.5,7.03,18.37,28.65,32.85,12.41,32.78,36.54,39.6,-0.52,0.48,16.83,7.14,122.78,254.58,343.01,1,14.75,742.62,1806.25,65.5,-58.75,-143,26
"6","Blacktip shark",1,1,0,0,0,30,100,12.2,22.41,28.87,33.07,17.86,31.54,36.19,39.21,0.13,1.2,27.77,1.1,71.27,218.62,320.93,0,12,522,2269,45,-38,-180,180
"7","Dusky shark",1,1,0,0,200,400,400,11.22,18.4,28.02,32.22,21.48,33.29,36.15,39.15,0.03,1.03,21.54,1.1,121.66,238.75,298.11,0,13,434,2047,45,-46,-120,156
"8","Sandbar shark",1,1,0,0,20,65,500,11.68,18.39,28.06,32.26,21.03,32.86,36.38,39.25,-0.29,0.71,22.1,3.07,122.46,240.9,293.17,1,15,383,1880,45,-43,-180,180
"9","Large coastal sharks",11,11,0.09,1.45,34.27,219.27,879.09,12.98,20.74,27.98,32.18,21.17,31.87,36.19,38.99,-0.17,1.11,27.69,14.64,121.72,233.64,294.4,0.82,26.18,406,1418.27,45.82,-41.55,-139.45,126
"10","Large oceanic sharks",8,8,1,0.12,41.88,263.5,959,5.77,16.3,27.29,31.73,15.06,33.1,36.05,39.09,-0.17,1.04,19.7,16.04,131.86,245.18,349.21,1,31.75,943.88,2042.88,60.12,-50.88,-180,180
"11","Atlantic sharpnose shark",2,2,0,0.5,11,53,240,13.34,23,28.09,32.3,19.7,31.05,35.83,39.08,0.14,1.77,24.77,79.4,156.09,227.4,260.2,0.5,10.5,175,438.5,42,-27.5,-63.5,62
"12","Small coastal sharks",15,37,0,11.24,38.55,282.08,583.01,10.17,15.92,24.22,29.38,21.86,32.17,35.79,38.44,1.52,4.64,32.29,86.79,160.8,246.06,309.24,1.51,11.94,228.65,569.63,26.63,-42.65,-56.51,-34.99
"13","Yellowfin tuna",1,1,1,1,1,100,250,2.39,19.21,28.34,32.54,4.31,33.84,36.26,39.01,-0.78,0.22,12.69,1.32,134.8,257.09,358.8,0,108,1390,2440,59,-48,-180,180
"14","Bluefin tuna",2,2,1,25,213,626.5,1864,1.42,10.43,25.36,30.84,16.28,33.66,36.22,38.45,-0.6,0.4,12.39,15,168.87,251.86,369.04,0,44,1049,2100.5,29,-59,-139.5,111
"15","Other tunas",4,4,1,12.5,60.5,338.25,840,5.6,19.42,28.1,32.3,8.84,34.08,36.31,38.64,-0.78,0.22,12.23,19.7,144.54,257.12,370.87,0.5,87.25,1232.25,2277.25,54.5,-43.25,-160,128.5
"16","Billfish",3,3,1,0,59.33,208,466.67,8.79,22.28,28.19,32.39,21.05,33.61,35.98,38.27,-0.47,0.53,14.88,8.75,128.69,215.96,304.45,1.33,90.33,1364.67,1999.5,52,-47.67,-153,126
"17","Swordfish",1,1,1,0,0,550,2878,1.16,17.36,28.02,32.22,4.31,33.64,36.38,39.93,-0.81,0.19,12.81,0.1,134.7,261.71,408.48,0,108,1458,2510,69,-50,-180,180
"18","Pelagic coastal piscivores",68,100,0.17,9.42,25.55,89.84,190.13,11.77,19.41,26.66,31.14,21.12,31.71,35.92,38.29,0.63,2.45,29.06,46.69,126.4,236.87,313.98,0.82,16.84,366.77,925.47,41.76,-25.27,-76.66,33.75
"19","Amberjack",3,3,0,19.67,61.67,176.33,438.33,10.3,17.78,27.9,32.1,21.73,32.8,36.37,38.78,-0.27,1.81,20.35,50.09,135.98,241.2,277.46,2,15.67,697.67,1251,47.67,-38.33,-152.67,115
"20","Cobia",1,1,0,0,155,515,1200,10.74,23.03,28.77,32.97,18.94,30.81,36.12,38.72,0.11,2.07,23.86,1.19,147.46,222.36,278.89,0,10,195,620,47,-37,-98,166
"21,22","King mackerel (0-1yr)",1,1,0,5,5,15,140,11.54,22,28.03,32.23,21.54,32.93,36.23,38.29,-0.55,0.45,18.2,137.43,162.41,248.66,311.56,1,14,327,1768,44,-22,-98,-34
"23,24","Spanish mackerel (0-1yr)",1,1,0,10,12,23,35,12.45,16.02,26.81,31.01,18.94,27.3,36.17,36.67,-0.19,0.81,30.39,138.69,200.66,251.58,278.89,0,6,102,218,44,19,-97,-64
"25","Skates-rays",29,39,0.03,5.49,17.17,71.03,161.02,12.44,18.96,26.38,30.55,23.9,30.56,36.01,37.95,1.36,5.44,35.35,70.38,146.49,233.5,283.76,1.14,14.36,184.89,474.96,27.73,-25.57,-67.55,4.57
"26,27","Gag grouper (0-3yr)",1,1,0,30,43,94,160,14.26,21.96,27.05,31.25,21.55,33.17,36.24,37.74,-0.4,0.6,16.6,152.29,171.82,231.38,267.53,1,9,149,464,40,-27,-98,-38
"28,29","Red grouper (0-3yr)",1,1,0,5,70,330,330,21.4,23.82,28.14,32.34,23.6,34.21,36.46,37.84,-0.63,0.37,14.92,145.54,167.08,242.63,267.53,1,12,197,464,35,-27,-98,-33
"30,31","Yellowedge grouper (0-3yr)",1,1,0,90,120,216,360,21.43,24.4,28.22,32.42,21.54,32.92,36.19,38.24,-0.68,0.32,21.54,137.72,156.07,251.58,268.84,6,20,211,385,36,-28,-98,-34
"32","Goliath grouper",1,1,0,0,10,46,100,21.65,24.36,28.12,32.32,7.84,28.85,36.42,37.33,-0.28,0.72,33.42,1.42,138.83,220.26,267.53,0,7,96,594,36,-33,-121,12
"33","Deep-water grouper",3,3,0,38.33,94,222.67,483.33,15.77,23.4,28.16,32.36,25.49,33.13,36.4,38.17,-0.64,0.36,22.76,105.86,159.22,251.03,281.63,1.67,15,205,391.67,39.67,-21.33,-98,-42.33
"34","Shallow-water grouper",10,10,0,8.7,16.7,54.8,134,19.89,24.07,28,32.2,24.02,33.95,36.62,37.7,-0.7,0.3,15.4,111.52,159.12,235.46,274.92,1.2,12.8,146.7,381.7,37.1,-15.1,-88.5,-26.7
"35,36,37","Red snapper (0yr)",1,1,0,10,30,130,190,11.89,22.97,27.62,31.82,18.94,30.61,36.19,39.46,-0.44,0.56,20.31,137.43,163.1,224.14,286.17,1,11,160,270,43,-4,-100,-40
"38","Vermilion snapper",1,1,0,40,40,100,300,11.57,23.03,28.19,32.39,21.55,33.17,36.24,38.3,-0.53,0.47,19.67,122.46,161.88,240.95,272.32,0,15,203,405,42,-33,-99,-30
"39","Mutton snapper",1,1,0,25,40,70,95,11.89,23.52,28.2,32.4,18.97,34.14,36.54,37.98,-0.7,0.3,19.51,136.35,166.03,223.79,286.17,1,9,104,472,42,-28,-98,-31
"40","Other snapper",10,10,0,38.5,61,126.8,227.7,16.99,25.08,28.23,32.43,22.36,33.01,36.27,37.94,-0.69,0.31,17.48,134.23,162.47,240.2,274.2,1.7,12.9,163.9,410.6,38.1,-11.7,-85.7,-39.3
"41","Inshore coastal piscivores",4,6,0.17,4,31.33,79.58,109.17,11.89,15.12,24.1,27.59,24.84,30.02,36.42,37.44,4.2,7.78,61.72,65.84,111.86,244.45,309.2,1.25,5.83,85.92,221.92,23,-20.08,3.33,74.33
