"","Coastal dolphins","Offshore dolphins","Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas","Billfish","Swordfish","Pelagic coastal piscivores","Amberjack","Cobia","King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)","Skates-rays","Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders","Tilefish","Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Sardine-herring-scad","Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)","Anchovy-silverside-killifish","Mullet","Butterfish","Cephalopod","Pink shrimp","Brown shrimp","White shrimp","Crab","Sessile epifauna","Mobile epifauna","Zooplankton","Infauna","Algae","Seagrass","Detritus"
"Name","Depth_1_Coastal-dolphins","Depth_2_Offshore-dolphins","Depth_5_Sea-turtle","Depth_6_Blacktip-shark","Depth_7_Dusky-shark","Depth_8_Sandbar-shark","Depth_9_Large-coastal-sharks","Depth_10_Large-oceanic-sharks","Depth_11_Atlantic-sharpnose-shark","Depth_12_Small-coastal-sharks","Depth_13_Yellowfin-tuna","Depth_14_Bluefin-tuna","Depth_15_Other-tunas","Depth_16_Billfish","Depth_17_Swordfish","Depth_18_Pelagic-coastal-piscivores","Depth_19_Amberjack","Depth_20_Cobia","Depth_21_King-mackerel-(0-1yr)","Depth_22_King-mackerel-(1+yr)","Depth_23_Spanish-mackerel-(0-1yr)","Depth_25_Spanish-mackerel-(1+yr)","Depth_25_Skates-rays","Depth_26_Gag-grouper-(0-3yr)","Depth_27_Gag-grouper-(3+yr)","Depth_28_Red-grouper-(0-3yr)","Depth_28_Red-grouper-(3+yr)","Depth_30, 31_Yellowedge-grouper","Depth_32_Goliath-grouper","Depth_33_Deep-water-grouper","Depth_34_Shallow-water-grouper","Depth_35_Red-snapper-(0yr)","Depth_36_Red-snapper-(1-2yr)","Depth_37_Red-snapper-(3+yr)","Depth_38_Vermilion-snapper","Depth_39_Mutton-snapper","Depth_40_Other-snapper","Depth_41_Inshore-coastal-piscivores","Depth_42_Sea-trout","Depth_43_Oceanic-piscivores","Depth_44_Benthic-piscivores","Depth_45_Reef-piscivores","Depth_46_Reef-invertebrate-feeders","Depth_47_Demersal-coastal-invertebrate-feeders","Depth_48_Red-drum","Depth_49_Benthic-coastal-invertebrate-feeders","Depth_50_Tilefish","Depth_51_Gray-triggerfish","Depth_52_Coastal-omnivores","Depth_53_Reef-omnivores","Depth_54_Surface-pelagics","Depth_55_Large-oceanic-planktivores","Depth_57_Sardine-herring-scad","Depth_58_Menhaden-(0yr)","Depth_59_Menhaden-(1yr)","Depth_60_Menhaden-(2yr)","Depth_61_Menhaden-(3yr)","Depth_62_Menhaden-(4yr)","Depth_63_Anchovy-silverside-killifish","Depth_64_Mullet","Depth_65_Butterfish","Depth_66_Cephalopod","Depth_67_Pink-shrimp","Depth_68_Brown-shrimp","Depth_69_White-shrimp","Depth_70_Crab","Depth_71_Sessile-epifauna","Depth_72_Mobile-epifauna","Depth_73_Zooplankton","Depth_74_Infauna","Depth_75_Algae","Depth_76_Seagrass","Depth_78_Detritus"
"Left_limit","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Right_limit","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551","551"
"1","0.246376140522644","0.00121936622520231","0.112890228539737","0.377540668798145","0.000804683827880257","0.0381443726900411","0.0453749272895832","7.58381706449147e-05","0.159988667908511","0.0421886746975105","0.0103092124964117","0.000170097780581808","0.00477065312955012","1.16980251069425e-05","0.000118917561457551","0.246376140522644","0.00674422406059924","0.170634256373903","0.377540668798145","0.246376140522644","0.377540668798145","0.246376140522644","0.246376140522644","0.0965580062468228","0.0116909155462451","0.0965580062468228","0.0116909155462451","4.72551391230412e-09","0.137841656964936","0.000147782527066373","0.0953494648991095","0.246376140522644","0.12603378943548","0.0112938822081106","0.00167528296767071","0.000226743601856998","0.246376140522644","NaN","NaN","6.5864495816251e-05","0.0119987407597409","0.0518140949067293","0.048116842170931","NaN","NaN","NaN","1.02268348861297e-05","0.0337610965336755","NaN","0.0200536371610867","0.133445864920272","3.8963749069043e-07","0.0662513585110545","0.170634256373903","0.12603378943548","0.0965580062468228","0.0758581800212435","0.0607329879432737","0.246376140522644","0.150325446910161","0.00905140422959029","0.000632132860635332","0.159988667908511","0.0692623347814233","0.150325446910161","NaN","NaN","NaN","0.330238450673343","0.0109869426305932","NaN","NaN","0.00686154680427152"
"2","0.286450020005431","0.00128351627289595","0.124532801459057","0.48979308484504","0.000831284653286341","0.0427404086727306","0.0489657816803464","7.86414760362544e-05","0.179480893673489","0.0452618116055362","0.0112006162368995","0.000175889477644769","0.00509587498201254","1.29975228793975e-05","0.000126178982072038","0.286450020005431","0.0071844437395238","0.192175225851059","0.48979308484504","0.286450020005431","0.48979308484504","0.286450020005431","0.286450020005431","0.105893105563277","0.0124149002535878","0.105893105563277","0.0124149002535878","5.13874198471846e-09","0.15705869003266","0.000157132776247395","0.105721560179706","0.286450020005431","0.139681799116356","0.0124998109622411","0.00182151319399475","0.000255276598050883","0.286450020005431","1","1","6.81974067509982e-05","0.0127853681498155","0.0570967984068689","0.0528041865095338","1","1","1","1.109155755154e-05","0.0411403078606108","1","0.0235052088876414","0.148285584288617","4.31768489925289e-07","0.0718257146818814","0.192175225851059","0.139681799116356","0.105893105563277","0.0825520634748268","0.0656949577155587","0.286450020005431","0.16805139535955","0.00968644406225812","0.000652323739920874","0.179480893673489","0.0751803018001511","0.16805139535955","1","1","1","0.405541687687815","0.0127808455827014","1","1","0.00718328550967508"
"3","0.330186241727028","0.0013510366468474","0.137190404166881","0.603084362465125","0.000858764079372091","0.0478626670467654","0.0528250821330327","8.15483952166915e-05","0.200780319925487","0.048547457793436","0.0121681490797516","0.000181878341612753","0.00544314638895294","1.44413757936666e-05","0.000133883744850643","0.330186241727028","0.00765317672977904","0.215728205132013","0.603084362465125","0.330186241727028","0.603084362465125","0.330186241727028","0.330186241727028","0.116014815349991","0.0131831211998251","0.116014815349991","0.0131831211998251","5.58810526740751e-09","0.17840047141676","0.000167074519920173","0.117075913526673","0.330186241727028","0.154546385257333","0.0138327038497549","0.00198048207953972","0.000287399101650049","0.330186241727028","1","1","7.06129432190868e-05","0.0136228551012289","0.0628823806216172","0.0579203679960846","1","1","1","1.20293953401908e-05","0.0500488604294038","1","0.0275341626899011","0.164462343815871","4.78455057578666e-07","0.077830000250722","0.215728205132013","0.154546385257333","0.116014815349991","0.0897792450651173","0.0710316691434894","0.330186241727028","0.187406518452704","0.0103655717750791","0.000673159099236262","0.200780319925487","0.0815596070311381","0.187406518452704","1","1","1","0.485567247096365","0.0148632478302533","1","1","0.00751999634612929"
"4","0.377071419987348","0.00142210392494754","0.150912763380935","0.706303891936407","0.000887151074716059","0.0535644562041438","0.0569703370599369","8.45627572494351e-05","0.22391760956737","0.0520586104376321","0.0132181421956904","0.000188071082159773","0.00581394519646634","1.6045619099741e-05","0.000142058910340857","0.377071419987348","0.0081522400460763","0.241305563180834","0.706303891936407","0.377071419987348","0.706303891936407","0.377071419987348","0.377071419987348","0.126966615589602","0.0139982050551568","0.126966615589602","0.0139982050551568","6.07676364590065e-09","0.201947492822015","0.000177645162978017","0.129473158942367","0.377071419987348","0.170678998844318","0.0153055242459622","0.00215329472488477","0.000323562403702903","0.377071419987348","1","1","7.31140311776289e-05","0.0145143938698034","0.0692111801975112","0.0634990231770641","1","1","1","1.30465302193237e-05","0.060764230115895","1","0.032230912634344","0.18202669750113","5.30189780654429e-07","0.0842906334126196","0.241305563180834","0.170678998844318","0.126966615589602","0.0975718539766927","0.0767662865516117","0.377071419987348","0.208432351397617","0.0110917806169876","0.000694659481782071","0.22391760956737","0.0884284600619841","0.208432351397617","1","1","1","0.566339759870245","0.0172790005123247","1","0.86873527541122","0.00787236508823196"
"5","0.426376209925046","0.00149690388313486","0.165744022891519","0.791941241537224","0.000916475559614523","0.0599027548301782","0.0614197825922776","8.7688532653394e-05","0.248890845295485","0.0558088088659418","0.0143574226555883","0.000194474637120849","0.00620984589734579","1.78280691597242e-05","0.000150733189861059","0.426376209925046","0.0086835624827665","0.268875790848751","0.791941241537224","0.426376209925046","0.791941241537224","0.426376209925046","0.426376209925046","0.13878994646698","0.0148629247599646","0.13878994646698","0.0148629247599646","6.60815332558924e-09","0.227740974767514","0.000188884474038116","0.142970584766672","0.426376209925046","0.18812093318398","0.0169324688706604","0.00234115126046329","0.000364274460008796","0.426376209925046","1","1","7.5703700168171e-05","0.0154633641164728","0.0761251994696298","0.0695753096673615","1","1","1","1.41496668212522e-05","0.0735960058397281","1","0.03769777214312","0.201015604032547","5.87518508761278e-07","0.0912345027686742","0.268875790848751","0.18812093318398","0.13878994646698","0.105962101737164","0.0829225517528791","0.426376209925046","0.231146131272199","0.0118682572745026","0.000716846083756584","0.248890845295485","0.0958154496341697","0.231146131272199","1","1","1","0.643735082291121","0.0200793873343702","1","0.847648239632529","0.00824110787161507"
"6","0.477189317879974","0.00157563196878044","0.181720906329939","0.857640972223369","0.000946768437119262","0.0669380205472668","0.0661923427921956","9.09298386253144e-05","0.275660014621425","0.0598121180620624","0.0155933467507905","0.000201096180238663","0.00663252561243878","1.98085212576071e-05","0.00015993704608392","0.477189317879974","0.00924919094942858","0.298357290492321","0.857640972223369","0.477189317879974","0.857640972223369","0.477189317879974","0.477189317879974","0.151523194308113","0.0157802064292605","0.151523194308113","0.0157802064292605","7.18601099483688e-09","0.255773039575691","0.000200834734592211","0.157620329185728","0.477189317879974","0.206900603359386","0.0187290648794429","0.00254535486546169","0.000410106986273591","0.477189317879974","1","0.929693381754807","7.83850869815921e-05","0.0164733421507815","0.0836678257280003","0.0761857407297085","1","0.976495539309202","1","1.53460766281642e-05","0.0888810835273322","1","0.0440496892641043","0.22144913095566","6.51046113282858e-07","0.0986887585556255","0.298357290492321","0.206900603359386","0.151523194308113","0.114981903945405","0.0895246445820719","0.477189317879974","0.255536073313481","0.0126983929507162","0.00073974077499357","0.275660014621425","0.103749288887971","0.255536073313481","1","1","1","0.714286082737289","0.0233228581581184","1","0.82386050956702","0.00862697243618181"
"7","0.52847900927455","0.00165849379781406","0.198870752038385","0.905080953082068","0.000978061625072098","0.0747338575962371","0.0713075751395794","9.42909444544354e-05","0.304142482126912","0.0640831045822061","0.0169338345301667","0.000207943129172397","0.00708377039389679","2.20089693714333e-05","0.000169702799733574","0.52847900927455","0.00985129709149548","0.329614012888154","0.905080953082068","0.52847900927455","0.905080953082068","0.52847900927455","0.52847900927455","0.165200560520363","0.0167531364193899","0.165200560520363","0.0167531364193899","7.81440010106037e-09","0.285977773222698","0.000213540897539939","0.173467353322477","0.52847900927455","0.227030761407764","0.0207122699149459","0.00276732043543875","0.000461703436384846","0.52847900927455","1","0.921538216317365","8.1161439452513e-05","0.0175481103841096","0.09188346338003","0.0833679606438294","1","0.974872196439718","1","1.66436458913494e-05","0.106974130959692","1","0.0514146945166334","0.243327184516674","7.21442869268601e-07","0.106680563272482","0.329614012888154","0.227030761407764","0.165200560520363","0.124662438951485","0.096597013405568","0.52847900927455","0.281557130454091","0.0135857948676352","0.000763366120244611","0.304142482126912","0.112258513481136","0.281557130454091","1","1","1","0.775733229378632","0.027075778111582","1","0.797247040404822","0.00903073941040258"
