"","Coastal dolphins","Offshore dolphins","Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas","Billfish","Swordfish","Pelagic coastal piscivores","Amberjack","Cobia","King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)","Skates-rays","Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders","Tilefish","Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Sardine-herring-scad","Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)","Anchovy-silverside-killifish","Mullet","Butterfish","Cephalopod","Pink shrimp","Brown shrimp","White shrimp","Crab","Sessile epifauna","Mobile epifauna","Zooplankton","Infauna","Algae","Seagrass","Detritus"
"Name","Sal_1_Coastal-dolphins","Sal_2_Offshore-dolphins","Sal_5_Sea-turtle","Sal_6_Blacktip-shark","Sal_7_Dusky-shark","Sal_8_Sandbar-shark","Sal_9_Large-coastal-sharks","Sal_10_Large-oceanic-sharks","Sal_11_Atlantic-sharpnose-shark","Sal_12_Small-coastal-sharks","Sal_13_Yellowfin-tuna","Sal_14_Bluefin-tuna","Sal_15_Other-tunas","Sal_16_Billfish","Sal_17_Swordfish","Sal_18_Pelagic-coastal-piscivores","Sal_19_Amberjack","Sal_20_Cobia","Sal_21_King-mackerel-(0-1yr)","Sal_22_King-mackerel-(1+yr)","Sal_23_Spanish-mackerel-(0-1yr)","Sal_25_Spanish-mackerel-(1+yr)","Sal_25_Skates-rays","Sal_26_Gag-grouper-(0-3yr)","Sal_27_Gag-grouper-(3+yr)","Sal_28_Red-grouper-(0-3yr)","Sal_28_Red-grouper-(3+yr)","Sal_30, 31_Yellowedge-grouper","Sal_32_Goliath-grouper","Sal_33_Deep-water-grouper","Sal_34_Shallow-water-grouper","Sal_35_Red-snapper-(0yr)","Sal_36_Red-snapper-(1-2yr)","Sal_37_Red-snapper-(3+yr)","Sal_38_Vermilion-snapper","Sal_39_Mutton-snapper","Sal_40_Other-snapper","Sal_41_Inshore-coastal-piscivores","Sal_42_Sea-trout","Sal_43_Oceanic-piscivores","Sal_44_Benthic-piscivores","Sal_45_Reef-piscivores","Sal_46_Reef-invertebrate-feeders","Sal_47_Demersal-coastal-invertebrate-feeders","Sal_48_Red-drum","Sal_49_Benthic-coastal-invertebrate-feeders","Sal_50_Tilefish","Sal_51_Gray-triggerfish","Sal_52_Coastal-omnivores","Sal_53_Reef-omnivores","Sal_54_Surface-pelagics","Sal_55_Large-oceanic-planktivores","Sal_57_Sardine-herring-scad","Sal_58_Menhaden-(0yr)","Sal_59_Menhaden-(1yr)","Sal_60_Menhaden-(2yr)","Sal_61_Menhaden-(3yr)","Sal_62_Menhaden-(4yr)","Sal_63_Anchovy-silverside-killifish","Sal_64_Mullet","Sal_65_Butterfish","Sal_66_Cephalopod","Sal_67_Pink-shrimp","Sal_68_Brown-shrimp","Sal_69_White-shrimp","Sal_70_Crab","Sal_71_Sessile-epifauna","Sal_72_Mobile-epifauna","Sal_73_Zooplankton","Sal_74_Infauna","Sal_75_Algae","Sal_76_Seagrass","Sal_78_Detritus"
"Left_limit","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Right_limit","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40"
"1","3.7307725575579e-08","3.7307725575579e-08","3.20239980584123e-08","3.44073735187486e-10","7.91299237712396e-12","1.31182280532024e-11","6.28956130698839e-12","4.5916864303366e-09","3.65464264823732e-11","2.5190122399034e-12","2.35079901623762e-06","1.76986247229633e-09","2.29501986946116e-07","1.4840264805902e-11","2.45180282223297e-06","6.57061223078849e-12","4.77084338032874e-12","9.24342570778338e-11","6.65585736798993e-12","6.65585736798993e-12","1.39932528433026e-11","1.39932528433026e-11","4.71830187647718e-15","6.62083379121651e-12","6.62083379121651e-12","6.62083379121651e-12","5.73676416475215e-13","6.65585736798993e-12","9.59780245822376e-07","3.57539723603289e-15","2.54366564737628e-13","8.65650417883262e-11","8.65650417883262e-11","8.65650417883262e-11","6.62083379121651e-12","1.65918520482815e-10","1.84908825633552e-12","2.40120060227973e-17","3.11765443706778e-12","3.67989910838734e-14","3.50826289257526e-13","6.3318586884442e-14","9.62895283072765e-14","6.63426559647173e-12","1.19691822789132e-13","2.70219472238362e-11","3.29419873994584e-20","1.82727127208996e-09","5.39656025006074e-13","1.18859079896931e-14","4.87868931661494e-13","1.46169145455913e-11","8.44867681811848e-13","8.43180313790074e-15","8.43180313790074e-15","8.43180313790074e-15","8.43180313790074e-15","8.43180313790074e-15","1.47877011341441e-12","3.0914343176336e-09","3.22964515927515e-12","1.98741329681792e-09","2.3361948385916e-12","2.8216377484355e-11","5.11839742129096e-12","1.17567788243078e-10","1.28967048479886e-08","3.75868780790479e-14","8.58332140761877e-16","3.6474190137568e-11","1.74505271438273e-18","8.74772657107e-17","3.06643763941315e-25"
"2","3.82694873013355e-08","3.82694873013355e-08","3.2849549745899e-08","3.54341951489793e-10","8.16293645184625e-12","1.35311535962493e-11","6.49656227692206e-12","4.71525043636339e-09","3.77174194800703e-11","2.60329436321571e-12","2.40472056152199e-06","1.81806302597188e-09","2.35019444532252e-07","1.52981587091218e-11","2.50815570107822e-06","6.78773724473796e-12","4.92542797602402e-12","9.53438318803208e-11","6.86911932331645e-12","6.86911932331645e-12","1.45071177616027e-11","1.45071177616027e-11","4.91258575629919e-15","6.83144456373801e-12","6.83144456373801e-12","6.83144456373801e-12","5.92633477941538e-13","6.86911932331645e-12","9.84245331891495e-07","3.71329671638564e-15","2.62988348323466e-13","8.93089418170029e-11","8.93089418170029e-11","8.93089418170029e-11","6.83144456373801e-12","1.70676495845705e-10","1.91019113371601e-12","2.515630783462e-17","3.23280170952221e-12","3.81427282898154e-14","3.6356603915163e-13","6.55694993537933e-14","9.97125247858674e-14","6.85815107425432e-12","1.25329124782162e-13","2.79185425328954e-11","3.46169694788227e-20","1.87916427741423e-09","5.58112375624362e-13","1.23274767736526e-14","5.04554152693566e-13","1.50802349739678e-11","8.76071976934838e-13","8.79739500330634e-15","8.79739500330634e-15","8.79739500330634e-15","8.79739500330634e-15","8.79739500330634e-15","1.53437180545807e-12","3.1778167967203e-09","3.35183252657926e-12","2.04385420428008e-09","2.41371039718671e-12","2.91949389079116e-11","5.31713145334438e-12","1.21207072975123e-10","1.32804889629063e-08","3.90462785941226e-14","8.92120882614598e-16","3.77642096592506e-11","1.83506454570953e-18","9.09453908597828e-17","3.25579325020679e-25"
"3","3.92560424329226e-08","3.92560424329226e-08","3.36963834595868e-08","3.64916602882053e-10","8.42077539585571e-12","1.39570768935208e-11","6.71037602750312e-12","4.84213959617474e-09","3.89259325510709e-11","2.69039643166266e-12","2.45987893133859e-06","1.86757627676749e-09","2.40669547291937e-07","1.57701808525951e-11","2.56580380594133e-06","7.01203712611624e-12","5.08502141299139e-12","9.8344992051675e-11","7.08921445716147e-12","7.08921445716147e-12","1.50398529995641e-11","1.50398529995641e-11","5.11486959605311e-15","7.04875493013247e-12","7.04875493013247e-12","7.04875493013247e-12","6.12216973001985e-13","7.08921445716147e-12","1.00933403970616e-06","3.85651484119271e-15","2.71902368242634e-13","9.21398167631651e-11","9.21398167631651e-11","9.21398167631651e-11","7.04875493013247e-12","1.75570913659289e-10","1.97331314761492e-12","2.63551418098651e-17","3.35220182481771e-12","3.95355328648739e-14","3.76768414659418e-13","6.79004295113775e-14","1.03257205367583e-13","7.08959197869756e-12","1.3123193508662e-13","2.88448871098939e-11","3.63771183980675e-20","1.93253100152208e-09","5.77199937351876e-13","1.27854501092152e-14","5.21810011827021e-13","1.55582415263328e-11","9.08428769727084e-13","9.17883844990564e-15","9.17883844990564e-15","9.17883844990564e-15","9.17883844990564e-15","9.17883844990564e-15","1.59206411870786e-12","3.26661302033529e-09","3.47864261619258e-12","2.10189798721539e-09","2.49379794238371e-12","3.0207437446896e-11","5.5235818099121e-12","1.24959010956474e-10","1.36756938435609e-08","4.05623438276374e-14","9.27239737860219e-16","3.909985460428e-11","1.92971929109389e-18","9.45510133569134e-17","3.45684176056512e-25"
"4","4.02680301233735e-08","4.02680301233735e-08","3.45650478321239e-08","3.75806834327861e-10","8.68675858078141e-12","1.4396407078377e-11","6.93122677980738e-12","4.97244339090635e-09","4.01731678852289e-11","2.78041279610122e-12","2.51630249518803e-06","1.91843797476468e-09","2.46455484145651e-07","1.62567671608258e-11","2.62477690640577e-06","7.2437489674706e-12","5.24978598742072e-12","1.01440620446045e-10","7.31636171307076e-12","7.31636171307076e-12","1.55921515193866e-11","1.55921515193866e-11","5.32548280731432e-15","7.27297800655509e-12","7.27297800655509e-12","7.27297800655509e-12","6.32447602071999e-13","7.31636171307076e-12","1.035062265523e-06","4.00525674522886e-15","2.81118529878825e-13","9.5060423518898e-11","9.5060423518898e-11","9.5060423518898e-11","7.27297800655509e-12","1.80605686626116e-10","2.03852102013203e-12","2.76111067007302e-17","3.47601185721099e-12","4.09791965334293e-14","3.90450215361747e-13","7.03142219060243e-14","1.06927895800653e-13","7.3288432815513e-12","1.37412758738343e-13","2.98019680433588e-11","3.82267645859802e-20","1.98741329681792e-09","5.96940297742553e-13","1.32604374355512e-14","5.39656025006074e-13","1.60513997168849e-11","9.41980626472255e-13","9.57682078135666e-15","9.57682078135666e-15","9.57682078135666e-15","9.57682078135666e-15","9.57682078135666e-15","1.65192566043035e-12","3.35789043459348e-09","3.61025031985738e-12","2.16159016597223e-09","2.57654281337388e-12","3.12550500614621e-11","5.7380480957644e-12","1.28827089343401e-10","1.40826593526028e-08","4.21372739229272e-14","9.63741067182845e-16","4.04827386530854e-11","2.02925643739692e-18","9.82995844242674e-17","3.67030521880588e-25"
"5","4.13061060025424e-08","4.13061060025424e-08","3.5456105639442e-08","3.87022063704595e-10","8.9611432550399e-12","1.48495661625648e-11","7.15934613443627e-12","5.10625370966465e-09","4.14603661920571e-11","2.87344096421724e-12","2.57402027328607e-06","1.97068484366505e-09","2.52380520678584e-07","1.6758367008696e-11","2.68510545627439e-06","7.48311769604013e-12","5.41988925421372e-12","1.04633690661854e-10","7.55078704981371e-12","7.55078704981371e-12","1.61647317304597e-11","1.61647317304597e-11","5.54476836572432e-15","7.50433368845172e-12","7.50433368845172e-12","7.50433368845172e-12","6.53346749609509e-13","7.55078704981371e-12","1.06144631079605e-06","4.15973547511094e-15","2.90647074359834e-13","9.80736063630191e-11","9.80736063630191e-11","9.80736063630191e-11","7.50433368845172e-12","1.85784839651658e-10","2.10588367819005e-12","2.89269251039937e-17","3.60439468233043e-12","4.24755764457499e-14","4.04628850891982e-13","7.28138222074308e-14","1.10729075609331e-13","7.57616855905528e-12","1.43884689741248e-13","3.07908051736733e-11","4.01704586581432e-20","2.04385420428008e-09","6.17355782649252e-13","1.37530708328704e-14","5.5811237562436e-13","1.65601898154833e-11","9.76771685594716e-13","9.99205910189725e-15","9.99205910189725e-15","9.99205910189725e-15","9.99205910189725e-15","9.99205910189725e-15","1.7140379935219e-12","3.45171837022442e-09","3.7468371460061e-12","2.22297755363953e-09","2.66203318092525e-12","3.23389945294698e-11","5.96084154854383e-12","1.32814903236322e-10","1.45017354664185e-08","4.37733544491584e-14","1.00167929247522e-15","4.19145325587613e-11","2.13392782448816e-18","1.02196771403266e-16","3.89695026045724e-25"
"6","4.23709426018646e-08","4.23709426018646e-08","3.6370134165359e-08","3.98571989948001e-10","9.24419479263616e-12","1.53169894415936e-11","7.39497331439096e-12","5.24366491432649e-09","4.2788807934946e-11","2.96958170614789e-12","2.63306195148885e-06","2.02435460730598e-09","2.58448000983728e-07","1.72754436364753e-11","2.74682060929516e-06","7.73039633265231e-12","5.59550419737656e-12","1.07927269898184e-10","7.79272366616013e-12","7.79272366616013e-12","1.67583384238435e-11","1.67583384238435e-11","5.77308336951365e-15","7.74304886621063e-12","7.74304886621063e-12","7.74304886621063e-12","6.74936506719045e-13","7.79272366616013e-12","1.08850289250525e-06","4.32017229444997e-15","3.00498589937646e-13","1.01182299731028e-10","1.01182299731028e-10","1.01182299731028e-10","7.74304886621063e-12","1.91112513061902e-10","2.17547232639281e-12","3.03054493628804e-17","3.73751919144367e-12","4.40265975670599e-14","4.19322363089178e-13","7.54022808009075e-14","1.1466538356048e-13","7.83184028231369e-12","1.50661438806836e-13","3.18124521797934e-11","4.22129826126433e-20","2.10189798721539e-09","6.38469481473745e-13","1.42640058635508e-14","5.77199937351876e-13","1.70851073153673e-11","1.01284771572491e-12","1.04253016084597e-14","1.04253016084597e-14","1.04253016084597e-14","1.04253016084597e-14","1.04253016084597e-14","1.77848574764026e-12","3.54816809523326e-09","3.88859147009111e-12","2.28610829275954e-09","2.75036014133513e-12","3.3460530862068e-11","6.19228549043957e-12","1.3692615902119e-10","1.49332825760989e-08","4.54729597181912e-14","1.04111097797941e-15","4.33969661656151e-11","2.24399828242808e-18","1.06248466322845e-16","4.13759086156287e-25"
"7","4.34632297900634e-08","4.34632297900634e-08","3.73077255755789e-08","4.10466601439828e-10","9.53618694982235e-12","1.57991259128723e-11","7.63835541593907e-12","5.38477390608204e-09","4.4159814604927e-11","3.06893916363806e-12","2.69345789656044e-06","2.07948601689832e-09","2.6466134954927e-07","1.78084745776343e-11","2.80995423524815e-06","7.98584625917437e-12","5.77680940593326e-12","1.1132452190106e-10","8.04241223285853e-12","8.04241223285853e-12","1.73737437410647e-11","1.73737437410647e-11","6.01079962102281e-15","7.98935764767342e-12","7.98935764767342e-12","7.98935764767342e-12","6.97239694502761e-13","8.04241223285853e-12","1.11624915374811e-06","4.48679700077208e-15","3.10684023754248e-13","1.04389531072846e-10","1.04389531072846e-10","1.04389531072846e-10","7.98935764767342e-12","1.96592965913211e-10","2.24736052229082e-12","3.17496677501786e-17","3.87556051363885e-12","4.56342551538413e-14","4.34549448955708e-13","7.80827565099123e-14","1.18741623324489e-13","8.09614011746845e-12","1.57757362400168e-13","3.28679977020188e-11","4.43593615950437e-20","2.16159016597223e-09","6.60305273280243e-13","1.47939224445154e-14","5.96940297742551e-13","1.7626663415699e-11","1.05025617590928e-12","1.08773289388085e-14","1.08773289388085e-14","1.08773289388085e-14","1.08773289388085e-14","1.08773289388085e-14","1.84535673451459e-12","3.64731286903304e-09","4.035708794385e-12","2.35103189308317e-09","2.84161781349989e-12","3.46209627683721e-11","6.43271579739863e-12","1.41164677814306e-10","1.53776717973624e-08","4.72385562302271e-14","1.08209491462164e-15","4.49318304991038e-11","2.35974630151699e-18","1.10460794807418e-16","4.39309126200648e-25"
