"","Coastal dolphins","Offshore dolphins","Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas","Billfish","Swordfish","Pelagic coastal piscivores","Amberjack","Cobia","King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)","Skates-rays","Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders","Tilefish","Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Sardine-herring-scad","Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)","Anchovy-silverside-killifish","Mullet","Butterfish","Cephalopod","Pink shrimp","Brown shrimp","White shrimp","Crab","Sessile epifauna","Mobile epifauna","Zooplankton","Infauna","Algae","Seagrass","Detritus"
"Name","Temp_1_Coastal-dolphins","Temp_2_Offshore-dolphins","Temp_5_Sea-turtle","Temp_6_Blacktip-shark","Temp_7_Dusky-shark","Temp_8_Sandbar-shark","Temp_9_Large-coastal-sharks","Temp_10_Large-oceanic-sharks","Temp_11_Atlantic-sharpnose-shark","Temp_12_Small-coastal-sharks","Temp_13_Yellowfin-tuna","Temp_14_Bluefin-tuna","Temp_15_Other-tunas","Temp_16_Billfish","Temp_17_Swordfish","Temp_18_Pelagic-coastal-piscivores","Temp_19_Amberjack","Temp_20_Cobia","Temp_21_King-mackerel-(0-1yr)","Temp_22_King-mackerel-(1+yr)","Temp_23_Spanish-mackerel-(0-1yr)","Temp_25_Spanish-mackerel-(1+yr)","Temp_25_Skates-rays","Temp_26_Gag-grouper-(0-3yr)","Temp_27_Gag-grouper-(3+yr)","Temp_28_Red-grouper-(0-3yr)","Temp_28_Red-grouper-(3+yr)","Temp_30, 31_Yellowedge-grouper","Temp_32_Goliath-grouper","Temp_33_Deep-water-grouper","Temp_34_Shallow-water-grouper","Temp_35_Red-snapper-(0yr)","Temp_36_Red-snapper-(1-2yr)","Temp_37_Red-snapper-(3+yr)","Temp_38_Vermilion-snapper","Temp_39_Mutton-snapper","Temp_40_Other-snapper","Temp_41_Inshore-coastal-piscivores","Temp_42_Sea-trout","Temp_43_Oceanic-piscivores","Temp_44_Benthic-piscivores","Temp_45_Reef-piscivores","Temp_46_Reef-invertebrate-feeders","Temp_47_Demersal-coastal-invertebrate-feeders","Temp_48_Red-drum","Temp_49_Benthic-coastal-invertebrate-feeders","Temp_50_Tilefish","Temp_51_Gray-triggerfish","Temp_52_Coastal-omnivores","Temp_53_Reef-omnivores","Temp_54_Surface-pelagics","Temp_55_Large-oceanic-planktivores","Temp_57_Sardine-herring-scad","Temp_58_Menhaden-(0yr)","Temp_59_Menhaden-(1yr)","Temp_60_Menhaden-(2yr)","Temp_61_Menhaden-(3yr)","Temp_62_Menhaden-(4yr)","Temp_63_Anchovy-silverside-killifish","Temp_64_Mullet","Temp_65_Butterfish","Temp_66_Cephalopod","Temp_67_Pink-shrimp","Temp_68_Brown-shrimp","Temp_69_White-shrimp","Temp_70_Crab","Temp_71_Sessile-epifauna","Temp_72_Mobile-epifauna","Temp_73_Zooplankton","Temp_74_Infauna","Temp_75_Algae","Temp_76_Seagrass","Temp_78_Detritus"
"Left_limit","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Right_limit","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40"
"1","0.000241377167860437","0.000241377167860437","6.04532750269246e-06","3.55443113218336e-08","3.1830293800334e-08","1.22383777219999e-08","5.56075985571861e-09","1.9980843251427e-05","1.02774709468702e-08","3.17693860673957e-08","0.000148600389742907","0.00206014907302479","1.72777213338564e-05","1.06025660633106e-06","0.000457611492023406","2.03354865245459e-08","1.06404411811487e-07","1.93099228014638e-07","7.52504622933655e-08","7.52504622933655e-08","4.21835084716018e-12","4.21835084716018e-12","4.78875137439397e-09","1.28309915331723e-09","1.28309915331723e-09","1.28309915331723e-09","1.53199562359395e-26","1.43061149485409e-21","6.21436234575748e-24","2.16776479858148e-10","4.67619411335795e-16","5.62530706142653e-08","5.62530706142653e-08","5.62530706142653e-08","7.78446885002703e-08","6.00444356266616e-08","8.65375563360823e-11","2.47510975821296e-12","2.48595076498702e-11","3.38141498819841e-06","1.17193719314337e-09","3.42621967136532e-13","1.53516757324829e-13","3.02293206074636e-10","3.37779620345576e-15","2.43745927095399e-09","2.62385635288412e-11","0.000445150244176599","1.2381064937554e-09","3.07703654108883e-13","1.23325022363638e-08","5.24746622854217e-07","1.17551987053477e-09","1.85119997772608e-25","1.85119997772608e-25","1.85119997772608e-25","1.85119997772608e-25","1.85119997772608e-25","3.38872333388434e-10","3.52368832796274e-07","4.03430139750327e-09","1.17554908652249e-05","4.53767160597119e-11","1.46084965592141e-09","4.26469832624305e-27","4.80984633665754e-10","0.000256412390707966","5.91948978372504e-09","0.000354119038858924","7.9562253851225e-07","0.0582914117551825","1.48098686986688e-44","0.000543215030268972"
"2","0.000248729870942604","0.000248729870942604","6.23902611264625e-06","3.6738646109575e-08","3.30922381224578e-08","1.27423131501491e-08","5.77383329776226e-09","2.06437991943976e-05","1.06305762342205e-08","3.32017349821511e-08","0.000152697779885861","0.00213322908353147","1.77904223530094e-05","1.09198893358961e-06","0.000470392297558637","2.11198057987703e-08","1.10535817349148e-07","1.99096152765599e-07","7.77472922107e-08","7.77472922107e-08","4.48487714900332e-12","4.48487714900332e-12","4.98753964826649e-09","1.33226408066322e-09","1.33226408066322e-09","1.33226408066322e-09","1.67236999139047e-26","1.53413302071616e-21","6.71361410959299e-24","2.25137330959429e-10","4.93310053585122e-16","5.80757793010361e-08","5.80757793010361e-08","5.80757793010361e-08","8.03389290210445e-08","6.19544675936828e-08","8.97716853372088e-11","2.6439440091162e-12","2.6161009779492e-11","3.51547415246487e-06","1.22275084439309e-09","3.58400358392447e-13","1.61215184500019e-13","3.160655118465e-10","3.63921626672018e-15","2.55361737328938e-09","2.74095893025066e-11","0.00046016574397919","1.28383464883456e-09","3.22031709050748e-13","1.27755210780711e-08","5.44724819016055e-07","1.2269692034306e-09","2.05296128718717e-25","2.05296128718717e-25","2.05296128718717e-25","2.05296128718717e-25","2.05296128718717e-25","3.55639967970884e-10","3.64831412653529e-07","4.20609301662517e-09","1.21847444265508e-05","4.72922470440928e-11","1.52887333331474e-09","4.85957437500303e-27","5.01466278727634e-10","0.000265572573683416","6.16323455986879e-09","0.000363385027974122","8.26108640803804e-07","0.0602805801380464","1.7437035283772e-44","0.000562043475153003"
"3","0.000256306490740858","0.000256306490740858","6.43893098849657e-06","3.7973112087878e-08","3.44042135070448e-08","1.32669989520931e-08","5.99507114406182e-09","2.13287512664801e-05","1.09958132360002e-08","3.46986625242069e-08","0.000156908130508612","0.00220889573528117","1.831833704037e-05","1.12467097382777e-06","0.000483529890396406","2.19343754783483e-08","1.14827634560217e-07","2.05279319064265e-07","8.03269675876544e-08","8.03269675876544e-08","4.76824327099127e-12","4.76824327099127e-12","5.19457992240683e-09","1.38331287650942e-09","1.38331287650942e-09","1.38331287650942e-09","1.82560664340686e-26","1.64514554350878e-21","7.25297494815329e-24","2.33820651690105e-10","5.20412119490488e-16","5.99575472839723e-08","5.99575472839723e-08","5.99575472839723e-08","8.29130880999047e-08","6.3925258261219e-08","9.31266819805219e-11","2.82429492273848e-12","2.75306511424897e-11","3.65484819050515e-06","1.27576770854972e-09","3.74905374484197e-13","1.6929966582333e-13","3.30465276001151e-10","3.92086858952923e-15","2.67531103671612e-09","2.8632877897688e-11","0.000475687495184567","1.33125172499984e-09","3.37026942154702e-13","1.32344544266439e-08","5.65463626259137e-07","1.28067033480164e-09","2.27671245538054e-25","2.27671245538054e-25","2.27671245538054e-25","2.27671245538054e-25","2.27671245538054e-25","3.73237276568245e-10","3.77734768832565e-07","4.38519999406149e-09","1.26296720498848e-05","4.92886401813696e-11","1.60006449660229e-09","5.53742874633523e-27","5.22820088417774e-10","0.000275059908814048","6.41701592999052e-09","0.000372893383405267","8.57762887021322e-07","0.0623331349562743","2.05302427505546e-44","0.000581524155429348"
"4","0.000264113842787225","0.000264113842787225","6.64524098160536e-06","3.92490577164445e-08","3.57682034861668e-08","1.38132895587311e-08","6.22478623274203e-09","2.20364292427347e-05","1.13735987641263e-08","3.62630802738112e-08","0.000161234554814489","0.00228724016729106","1.88619168229602e-05","1.15833115082543e-06","0.000497034220784521","2.27803622909289e-08","1.19286091809038e-07","2.11654510858422e-07","8.29922372574642e-08","8.29922372574642e-08","5.06951319645527e-12","5.06951319645527e-12","5.4102147497552e-09","1.43631772565725e-09","1.43631772565725e-09","1.43631772565725e-09","1.9928841306703e-26","1.76419112474576e-21","7.83566715926846e-24","2.4283887937989e-10","5.49003151556188e-16","6.19002881985686e-08","6.19002881985686e-08","6.19002881985686e-08","8.5569726426087e-08","6.59587403818484e-08","9.66070633978124e-11","3.01694808328133e-12","2.89719991207516e-11","3.79974781281269e-06","1.33108331401915e-09","3.9217047786328e-13","1.77789560808324e-13","3.45521085184021e-10","4.22431902081264e-15","2.80280406062326e-09","2.99107618014873e-11","0.00049173254965305","1.38042010076667e-09","3.52720420212562e-13","1.37098739767781e-08","5.86992002580748e-07","1.33672181979084e-09","2.52485014541454e-25","2.52485014541454e-25","2.52485014541454e-25","2.52485014541454e-25","2.52485014541454e-25","3.91705312017588e-10","3.91094490691179e-07","4.57193383783027e-09","1.30908460540679e-05","5.13693089834218e-11","1.67457063805795e-09","6.30983595568912e-27","5.45083201898375e-10","0.0002848860736565","6.68124716742867e-09","0.000382650439824333","8.90630037161768e-07","0.0644507859194134","2.41721634748864e-44","0.000601679638379916"
"5","0.000272158949843882","0.000272158949843882","6.85816131444621e-06","4.05678767649518e-08","3.71862702310194e-08","1.43820745835632e-08","6.46330338904717e-09","2.27675871081484e-05","1.17643639510115e-08","3.78980310821699e-08","0.000165680251751638","0.00236835669991663","1.94216265217433e-05","1.19299873904841e-06","0.000510915515913967","2.36589779636672e-08","1.23917659290883e-07","2.18227691722925e-07","8.57459412603132e-08","8.57459412603132e-08","5.38981813394161e-12","5.38981813394161e-12","5.63480090313919e-09","1.49135357883655e-09","1.49135357883655e-09","1.49135357883655e-09","2.175488992999e-26","1.89185105045089e-21","8.46517191493548e-24","2.52204931053812e-10","5.79164952410633e-16","6.39059776857968e-08","6.39059776857968e-08","6.39059776857968e-08","8.83114867364406e-08","6.80569081895749e-08","1.00217515537595e-10","3.22274266187095e-12","3.04888078639485e-11","3.95039208346351e-06","1.38879733119291e-09","4.10230671990526e-13","1.86705199792904e-13","3.61262828431769e-10","4.55125459630417e-15","2.93637281586563e-09","3.12456775997881e-11","0.000508318532461631","1.43140445853501e-09","3.6914465662457e-13","1.42023719600803e-08","6.09340008464915e-07","1.39522652703385e-09","2.80003223144585e-25","2.80003223144585e-25","2.80003223144585e-25","2.80003223144585e-25","2.80003223144585e-25","4.11087158478397e-10","4.04926718950034e-07","4.76661932081497e-09","1.35688596543556e-05","5.35378110599907e-11","1.75254611785383e-09","7.18998502943395e-27","5.68294339819024e-10","0.000295063162116657","6.95635856273368e-09","0.000392662697216941","9.24756566293461e-07","0.0666352674472811","2.84601353308811e-44","0.000622533270224107"
"6","0.000280449048190513","0.000280449048190513","7.07790378472092e-06","4.19310098355269e-08","3.86605576696479e-08","1.49742802713919e-08","6.71095988465539e-09","2.35230038606433e-05","1.21685547415768e-08","3.96066949899041e-08","0.000170248508371528","0.00245234294374079","1.99979447489639e-05","1.22870388910821e-06","0.000525184287595622","2.45714809588087e-08","1.28729058421599e-07","2.25005010438214e-07","8.85910138696023e-08","8.85910138696023e-08","5.73036076467414e-12","5.73036076467414e-12","5.86870996556263e-09","1.54849825868867e-09","1.54849825868867e-09","1.54849825868867e-09","2.37482565384672e-26","2.02874866951161e-21","9.14525005884803e-24","2.61932221933579e-10","6.10983818854239e-16","6.59766554012037e-08","6.59766554012037e-08","6.59766554012037e-08","9.11410964443358e-08","7.02218193555701e-08","1.03962899474226e-10","3.44257507187416e-12","3.20850280676311e-11","4.10700875128233e-06","1.44901375203926e-09","4.29122572302522e-13","1.96067932623389e-13","3.77721756508492e-10","4.90349291763361e-15","3.07630684386207e-09","3.26401706231801e-11","0.000525463661095459","1.48427186968091e-09","3.8633367875994e-13","1.47125618828123e-08","6.32538848856012e-07","1.45629182744883e-09","3.10520626793417e-25","3.10520626793417e-25","3.10520626793417e-25","3.10520626793417e-25","3.10520626793417e-25","4.31428031943801e-10","4.19248165193148e-07","4.9695950456188e-09","1.40643277253029e-05","5.57978542016213e-11","1.83415248386022e-09","8.19290471044241e-27","5.92493871660777e-10","0.00030560369925946","7.24279812437976e-09","0.000402936825183011","9.60190730272086e-07","0.0688883374410543","3.35087632471791e-44","0.000644109202871606"
"7","0.000288991594101594","0.000288991594101594","7.30468697601493e-06","4.33399459363746e-08","4.01932947282795e-08","1.55908710066761e-08","6.96810591459267e-09","2.43034843407099e-05","1.25866324021676e-08","4.1392395412343e-08","0.000174942702252172","0.00253929991203324","2.05913643172719e-05","1.26547765398356e-06","0.00053985134014801","2.55191782762143e-08","1.3372727159183e-07","2.31992806742071e-07","9.15304867186255e-08","9.15304867186255e-08","6.09241975838286e-12","6.09241975838286e-12","6.11232894499819e-09","1.6078325698103e-09","1.6078325698103e-09","1.6078325698103e-09","2.59242722179613e-26","2.17555243742055e-21","9.87996457476507e-24","2.72034684652526e-10","6.44550788765674e-16","6.81144270891041e-08","6.81144270891041e-08","6.81144270891041e-08","9.40613703527983e-08","7.24555970061253e-08","1.0784825795279e-10","3.67740287355399e-12","3.3764817263251e-11","4.26983459413648e-06","1.51184107748098e-09","4.48884480446124e-13","2.05900179779945e-13","3.94930543945236e-10","5.28299225730157e-15","3.22290948424398e-09","3.40968998002292e-11","0.000543186765276508","1.53909188279078e-09","4.04323098454013e-13","1.52410792901378e-08","6.56620916730338e-07","1.52002979128934e-09","3.44364106174542e-25","3.44364106174542e-25","3.44364106174542e-25","3.44364106174542e-25","3.44364106174542e-25","4.52775385725156e-10","4.34076132058055e-07","5.18121403347203e-09","1.45778875914952e-05","5.81533027193886e-11","1.91955880633687e-09","9.3357200772466e-27","6.1772388594792e-10","0.000316520656642975","7.54103230832967e-09","0.000413479667348572","9.96982633974696e-07","0.0712117759127418","3.94529822610202e-44","0.000666432421584617"
