"","Blacktip shark","Dusky shark","Sandbar shark","Lrg. coastal sharks","Lrg. oceanic sharks","Atl. sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas","Billfish","Swordfish","Pelagic coastal piscivores","Amberjack","King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)","Skates-rays","Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invert. fdrs.","Dem. cstl. invrt. fdrs.","Bnthc. cstl. invrt. fdrs.","Tilefish","Gray triggerfish","Coastal omnivores","Reef omnivores","Lrg. oceanic planktivores","Sardine-herring-scad","Menhaden","Anchovy-silverside-killifish","Mullet","Butterfish","Red drum","Pink shrimp","Brown shrimp","White shrimp","Crab","Sessile epifauna","Mobile epifauna","Seagrass"
"Name","Depth_Blacktip-shark_grp6","Depth_Dusky-shark_grp7","Depth_Sandbar-shark_grp8","Depth_Lrg.-coastal-sharks_grp9","Depth_Lrg.-oceanic-sharks_grp10","Depth_Atl.-sharpnose-shark_grp11","Depth_Small-coastal-sharks_grp12","Depth_Yellowfin-tuna_grp13","Depth_Bluefin-tuna_grp14","Depth_Other-tunas_grp15","Depth_Billfish_grp16","Depth_Swordfish_grp17","Depth_Pelagic-coastal-piscivores_grp18","Depth_Amberjack_grp19","Depth_King-mackerel-(0-1yr)_grp21","Depth_King-mackerel-(1+yr)_grp22","Depth_Spanish-mackerel-(0-1yr)_grp23","Depth_Spanish-mackerel-(1+yr)_grp24","Depth_Skates-rays_grp25","Depth_Gag-grouper-(0-3yr)_grp26","Depth_Gag-grouper-(3+yr)_grp27","Depth_Red-grouper-(0-3yr)_grp28","Depth_Red-grouper-(3+yr)_grp28","Depth_Yellowedge-grouper-(0-3yr)_grp30","Depth_Yellowedge-grouper-(3+yr)_grp31","Depth_Goliath-grouper_grp32","Depth_Deep-water-grouper_grp33","Depth_Shallow-water-grouper_grp34","Depth_Red-snapper-(0yr)_grp35","Depth_Red-snapper-(1-2yr)_grp36","Depth_Red-snapper-(3+yr)_grp37","Depth_Vermilion-snapper_grp38","Depth_Mutton-snapper_grp39","Depth_Other-snapper_grp40","Depth_Inshore-coastal-piscivores_grp41","Depth_Sea-trout_grp42","Depth_Oceanic-piscivores_grp43","Depth_Benthic-piscivores_grp44","Depth_Reef-piscivores_grp45","Depth_Reef-invert.-fdrs._grp46","Depth_Dem.-cstl.-invrt.-fdrs._grp47","Depth_Bnthc.-cstl.-invrt.-fdrs._grp49","Depth_Tilefish_grp50","Depth_Gray-triggerfish_grp51","Depth_Coastal-omnivores_grp52","Depth_Reef-omnivores_grp53","Depth_Lrg.-oceanic-planktivores_grp55","Depth_Sardine-herring-scad_grp57","Depth_Menhaden_grp58,59,60,61,62","Depth_Anchovy-silverside-killifish_grp63","Depth_Mullet_grp64","Depth_Butterfish_grp65","Depth_Red-drum_grp48","Depth_Pink-shrimp_grp67","Depth_Brown-shrimp_grp68","Depth_White-shrimp_grp69","Depth_Crab_grp70","Depth_Sessile-epifauna_grp71","Depth_Mobile-epifauna_grp72","Depth_Seagrass_grp76"
"Left_limit","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Right_limit","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200"
"1","0.04","0","0","0.1","0","0.025","1","0","0","0","0","0","1","0","0","0","0","0","1","0.05","0","0.05","0","0","0","0","0","0.1","0.2","0","0","0","0.0333333333333333","1","1","1","0","0","0","0","1","1","0","0.04","1","0","0","0","1","1","1","0","1","0.0909090909090909","0.037037037037037","0.0666666666666667","1","1","1","1"
"2","0.08","0","0","0.2","0","0.05","1","0","0","0","0","0","1","0","0","0","0","0","1","0.1","0","0.1","0","0","0","0","0","0.2","0.4","0","0","0","0.0666666666666667","1","1","1","0","0","0","0","1","1","0","0.08","1","0","0","0","1","1","1","0","1","0.181818181818182","0.0740740740740741","0.133333333333333","1","1","1","1"
"3","0.12","0","0","0.3","0","0.075","1","0","0","0","0","0","1","0","0","0","0","0","1","0.15","0","0.15","0","0","0","0.0434782608695652","0","0.3","0.6","0","0","0","0.1","1","1","1","0","0","0","0","1","1","0","0.12","1","0.0769230769230769","0","0","1","1","1","0","1","0.272727272727273","0.111111111111111","0.2","1","1","1","1"
"4","0.16","0","0","0.4","0","0.1","1","0","0","0","0","0","1","0.0666666666666667","0","0","0","0","1","0.2","0","0.2","0","0","0","0.0869565217391304","0","0.4","0.8","0","0","0","0.133333333333333","1","1","1","0","0","0","0","1","1","0","0.16","1","0.153846153846154","0","0","1","1","1","0","1","0.363636363636364","0.148148148148148","0.266666666666667","1","0.988505747126437","1","1"
"5","0.2","0","0","0.5","0","0.125","1","0","0","0","0","0","1","0.133333333333333","0","0","0","0","1","0.25","0","0.25","0","0","0","0.130434782608696","0","0.5","1","0","0","0","0.166666666666667","1","1","1","0","0","0","0","1","1","0","0.2","1","0.230769230769231","0","0.0217391304347826","1","1","1","0","1","0.454545454545455","0.185185185185185","0.333333333333333","1","0.977011494252874","1","1"
"6","0.24","0.0105263157894737","0.00833333333333333","0.6","0","0.15","1","0","0","0","0","0","1","0.2","0.2","0.2","0.2","0.0909090909090909","1","0.3","0","0.3","0","0","0","0.173913043478261","0","0.6","1","0.0666666666666667","0","0","0.2","1","0.95","0.9","0","0.0103092783505155","0.037037037037037","0.0294117647058824","1","1","0","0.24","1","0.307692307692308","0","0.0434782608695652","1","1","1","0","0.95","0.545454545454545","0.222222222222222","0.4","1","0.96551724137931","1","0.857142857142857"
"7","0.28","0.0210526315789474","0.0166666666666667","0.7","0","0.175","1","0","0","0","0","0","1","0.266666666666667","0.4","0.4","0.4","0.181818181818182","1","0.35","0","0.35","0","0","0","0.217391304347826","0","0.7","1","0.133333333333333","0","0","0.233333333333333","1","0.9","0.8","0","0.0206185567010309","0.0740740740740741","0.0588235294117647","1","1","0","0.28","1","0.384615384615385","0.00714285714285714","0.0652173913043478","1","1","1","0","0.9","0.636363636363636","0.259259259259259","0.466666666666667","1","0.954022988505747","1","0.714285714285714"
