Sciname,Genus,Species,Common,Subfamily,BodyShapeI,Fresh,Brack,Saltwater,DemersPelag,AnaCat,DepthRangeShallow,DepthRangeDeep,Vulnerability,MaxLength,CommonLength,MaxWeight,SpecCode,Loo,K,to,Winfinity,Wmax,Lmax,tmax,a,b,Lmat,Amat,AspectRatio,Neritic,SupraLittoralZone,Saltmarshes,LittoralZone,TidePools,Intertidal,SubLittoral,Caves,Oceanic,Epipelagic,Mesopelagic,Bathypelagic,Abyssopelagic,Hadopelagic,Estuaries,Mangroves,MarshesSwamps,CaveAnchialine,Stream,Lakes,Cave,Cave2,Parasitism,Solitary,Symbiosis,Symphorism,Commensalism,Mutualism,Epiphytic,Schooling,Shoaling,Benthic,Sessile,Mobile,Demersal,Endofauna,Pelagic,Megabenthos,Macrobenthos,Meiobenthos,SoftBottom,Sand,Coarse,Fine,Level,Sloping,Silt,Mud,Ooze,Detritus,Organic,HardBottom,Rocky,Rubble,Gravel,Macrophyte,BedsBivalve,BedsRock,SeaGrassBeds,BedsOthers,CoralReefs,ReefExclusive,DropOffs,ReefFlats,Lagoons,Burrows,Tunnels,Crevices,Vents,Seamounts,DeepWaterCorals,Vegetation,Leaves,Stems,Roots,Driftwood,OInverterbrates,Verterbrates,Pilings,BoatHulls,Corals,SoftCorals,OnPolyp,BetweenPolyps,HardCorals,OnExoskeleton,InterstitialSpaces,Herbivory2,FeedingType,DietTroph,DietTLu,FoodTroph,benth.crust.,cnidarians,detritus,finfish,molluscs,other.plants,others,plank.crust.,sponges.tunicates,worms,cephalopods,herps,other.benth.invertebrates,other.plank.invertebrates,jellyfish.hydroids,echinoderms,other.plank.Invertebrates,fish.early.stages.,insects,mammals,birds,phytoplankton,benth.Crust.,plank.Crust.,Family,Trophic.Level,h,d,f,QB1,QB2,M.Pauly,M.Ralston,M.Jensen
Acanthurus bahianus,Acanthurus,bahianus,Ocean surgeon,Acanthurinae,short and / or deep,0,0,-1,reef-associated,NA,2,40,20,38.1,25,NA,942,39.79131288,0.157894737,NA,1144.049935,NA,21.1275,19,0.0259,2.9036,15.5,NA,2.42851,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2,2,2,0,0,0,0,0,100.0000029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acanthuridae,2,1,0,1,27.44684616,28.01672084,0.460339282,0.322521053,0.236842105
Acanthurus randalli,Acanthurus,randalli,Gulf surgeonfish,Acanthurinae,short and / or deep,0,0,-1,reef-associated,NA,1,20,18.85,18,NA,NA,3905,19.02451843,0.555322717,NA,154.6172857,NA,NA,NA,0.027969048,2.925459524,NA,NA,1.32001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),browsing on substrate,NA,NA,2,0.100000004,0.033333334,8.421666463,0,0.016666667,89.8133359,0,0,0,0.080000001,0,0,0.513333337,1.006666629,0,0.015000001,0,0,0,0,0,0,0,0,Acanthuridae,2,0.898133338,0.084216663,0.982350001,31.85123311,29.96741739,1.280872818,1.581851092,0.832984075
Centropyge argi,Centropyge,argi,Cherubfish,NA,short and / or deep,0,0,-1,reef-associated,non-migratory,5,80,12.93,8,NA,NA,3607,8.565068807,0.869610915,NA,16.63280886,NA,NA,NA,0.02951,2.9494,NA,NA,1.18472,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),browsing on substrate,2,2,2,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pomacanthidae,2,1,0,1,51.29838261,45.4459993,2.141949945,2.577736106,1.304416373
Coryphopterus eidolon,Coryphopterus,eidolon,Pallid goby,Gobiinae,fusiform / normal,0,0,-1,reef-associated,NA,6,30,13.37,6,NA,NA,3843,6.45325231,1.019586613,NA,2.853806097,NA,NA,NA,0.01298,2.892333333,NA,NA,1.0824,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,NA,NA,2,20,0,0,0,10,50,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,Gobiidae,2,0.5,0,0.5,39.0644311,32.97238869,2.570558116,3.052964101,1.52937992
Cryptotomus roseus,Cryptotomus,roseus,Bluelip parrotfish,Sparisomatinae,fusiform / normal,0,0,-1,reef-associated,NA,NA,60,12.01,13,10,NA,3674,13.81120759,0.664828356,NA,42.32347442,NA,NA,NA,0.0078,3.2752,NA,NA,1.11485,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scaridae,2,NA,NA,NA,NA,NA,1.574405341,1.928841611,0.997242534
Kyphosus incisor,Kyphosus,incisor,Yellow sea chub,Kyphosinae,fusiform / normal,0,0,-1,reef-associated,NA,1,15,66.02,90,45,3850,1064,92.71928065,0.228018536,NA,13542.64641,NA,NA,NA,0.01699,3,NA,NA,2.868075,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),browsing on substrate,2,2,NA,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kyphosidae,2,1,0,1,18.03148924,18.53899294,0.461657763,0.544722336,0.342027804
Mugil trichodon,Mugil,trichodon,NA,NA,fusiform / normal,-1,-1,-1,pelagic-neritic,catadromous,NA,NA,33.32,46,15,190,14701,47.89828703,0.330506415,NA,1279.308496,NA,NA,NA,0.0208,2.85,15.5,2,1.91617,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),browsing on substrate,NA,NA,2,0.458333337,0,20.38555551,0,0.511666669,34.83444447,0,29.57444412,0,0,0,0,3.09333335,0,0,0,0.016666667,0,0,0,0,11.125,0,0,Mugilidae,2,0.459597,0.203856688,0.663453688,15.12546071,15.86367363,0.706541448,0.869475677,0.495759623
Nicholsina usta collettei,Nicholsina,collettei,NA,Sparisomatinae,NA,0,0,-1,demersal,NA,20,50,26.56,24,NA,NA,22538,25.25026166,0.473637737,NA,602.7647301,NA,NA,NA,0.034812143,3.02254881,NA,NA,1.08312,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scaridae,2,NA,NA,NA,NA,NA,1.067303417,1.323015896,0.710456605
Nicholsina usta usta,Nicholsina,usta,Emerald parrotfish,Sparisomatinae,fusiform / normal,0,0,-1,reef-associated,NA,1,73,26.76,30,18,NA,1151,31.45104115,0.418647824,NA,1170.592465,NA,NA,NA,0.034812143,3.02254881,NA,NA,1.08312,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),browsing on substrate,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scaridae,2,NA,NA,NA,NA,NA,0.926491759,1.14876936,0.627971736
Scarus iseri,Scarus,iseri,Striped parrotfish,Scarinae,fusiform / normal,0,0,-1,reef-associated,NA,3,25,17.19,35,18,NA,1154,36.60305736,0.375,NA,823.2919191,NA,23.5,8,0.0161,3.011625,NA,NA,1.31655,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),browsing on substrate,2,2,NA,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scaridae,2,1,0,1,23.73283163,21.83500942,0.82675907,1.0104625,0.5625
