Group,Sciname,Common,EwE_name,EwE_num
dolphins,CETACEA,CETACEAN,Coastal dolphins,"01, 02"
dolphins,DELPHINIDAE,DOLPHIN,Coastal dolphins,"01, 02"
dolphins,DELPHINIDAE,OCEANIC DOLPHIN,Coastal dolphins,"01, 02"
dolphins,DELPHINUS SP,DOLPHIN,Coastal dolphins,"01, 02"
dolphins,ODONTOCETI,WHALE,Coastal dolphins,"01, 02"
dolphins,PHOCOENIDAE,PORPOISE,Coastal dolphins,"01, 02"
dolphins,STENELLA FRONTALIS,SPOTTED DOLPHIN,Coastal dolphins,"01, 02"
dolphins,TURSIOPS TRUNCATUS,BOTTLENOSE DOLPHIN,Coastal dolphins,"01, 02"
seabirds,AIX SPONSA,WOOD DUCK,Seabird,04
seabirds,ANAS AMERICANA,AMERICAN WIDGEON,Seabird,04
seabirds,ANAS DISCORS,BLUE-WINGED TEAL,Seabird,04
seabirds,ANAS FULVIGULA,MOTTLED DUCK,Seabird,04
seabirds,ANAS RUBRIPES,BLACK DUCK,Seabird,04
seabirds,ANAS STREPERA,GADWALL,Seabird,04
seabirds,ANATIDAE,PINTAIL,Seabird,04
seabirds,AVES,DUCKS AND GULLS,Seabird,04
seabirds,AYTHYA AFFINIS,LESSER SCAUP,Seabird,04
seabirds,AYTHYA AMERICANA,REDHEAD,Seabird,04
seabirds,AYTHYA VALISINERIA,CANVASBACK,Seabird,04
seabirds,CALONECTRIS DIOMEDEA,CORY'S SHEARWATER,Seabird,04
seabirds,DIOMEDEIDAE,ALBATROSS,Seabird,04
seabirds,FREGATA MAGNIFICENS,MAGNIFICENT FRIGATEBIRD,Seabird,04
seabirds,FREGATA MINOR,GREAT FRIGATEBIRD,Seabird,04
seabirds,FULICA AMERICANA,AMERICAN COOT,Seabird,04
seabirds,GALLINULA GALEATA,COMMON GALLINULE,Seabird,04
seabirds,GAVIA IMMER,COMMON LOON,Seabird,04
seabirds,HALIAEETUS LEUCOCEPHALUS,BALD EAGLE,Seabird,04
seabirds,LARIDAE,GULL,Seabird,04
seabirds,LARIDAE,RING-BILLED GULL,Seabird,04
seabirds,LARUS ARGENTATUS,HERRING GULL,Seabird,04
seabirds,LARUS AUDOUINII,AUDOUIN’S GULL,Seabird,04
seabirds,LARUS FUSCUS,LESSER BLACKBACKED GULL,Seabird,04
seabirds,MELANITTA PERSPICILLATA,SURF SCOTER,Seabird,04
seabirds,MERGUS SERRATOR,REDBREASTED MERGANSER,Seabird,04
seabirds,MORUS CAPENSIS,CAPE GANNET,Seabird,04
seabirds,OCEANODROMA LEUCORHOA,LEACH’S STORM-PETREL,Seabird,04
seabirds,OCEANODROMA TETHYS,WEDGE-RUMPED STORM-PETREL,Seabird,04
seabirds,OXYURA JAMAICENSIS,RUDDY DUCK,Seabird,04
seabirds,PANDION HALIAETUS,OSPREY,Seabird,04
seabirds,PELECANUS ERYTHRORHYNCHOS,WHITE PELICAN,Seabird,04
seabirds,PELICANUS OCCIDENTALIS,BROWN PELICAN,Seabird,04
seabirds,PHALACROCORAX AURITUS,DOUBLE-CRESTED CORMORANT,Seabird,04
seabirds,PHALACROCORAX OLIVACEUS,NEOTROPICAL CORMORANT,Seabird,04
seabirds,PHALACROCORAXC ARBO,GREAT CORMORANT,Seabird,04
seabirds,PODILYMBUS PODICEPS,PIED-BILLED GREBE,Seabird,04
seabirds,PUFFINUS GRISEUS,SOOTY SHEARWATER,Seabird,04
seabirds,PUFFINUS LHERMINIERI,AUDUBON SHEARWATER,Seabird,04
seabirds,PUFFINUS PACIFICUS,WEDGETAILED SHEARWATER,Seabird,04
seabirds,RYNCHOPS NIGER,BLACK SKIMMER,Seabird,04
seabirds,STERNA CASPIA,CASPIAN TERN,Seabird,04
seabirds,STERNA HIRUNDO,COMMON TERN,Seabird,04
seabirds,STERNA MAXIMA,ROYAL TERN,Seabird,04
seabirds,STERNA NILOTICA,GULLBILLED TERN,Seabird,04
seabirds,STERNA SANDVICENSIS,SANDWICH TERN,Seabird,04
seabirds,SULA DACTYLATRA,MASKED BOOBY,Seabird,04
seabirds,URIA AALGE,COMMON MURRE,Seabird,04
sea turtles,CHELONIA MYDAS,"TURTLE, GREEN SEA",Sea turtle,05
sea turtles,CARETTA CARETTA,"TURTLE, LOGGERHEAD SEA",Sea turtle,05
sea turtles,CARETTA CARETTA,LOGGERHEAD,Sea turtle,05
sea turtles,CARETTA CARETTA,LOGGERHEAD TURTLE,Sea turtle,05
sea turtles,CHELONIA MYDAS,GREEN SEA TURTLE,Sea turtle,05
sea turtles,CHELONIA MYDAS,GREEN TURTLE,Sea turtle,05
sea turtles,CHELONIIDAE,SEA TURTLE,Sea turtle,05
sea turtles,CHELONIOIDEA,SEA TURTLE,Sea turtle,05
sea turtles,DERMOCHELYS CORIACEA,LEATHERBACK,Sea turtle,05
sea turtles,ERETMOCHELYS IMBRICATA,HAWKSBILL TURTLE,Sea turtle,05
sea turtles,LEPIDOCHELYS KEMPI,KEMPS RIDLEY TURTLE,Sea turtle,05
blacktip shark,CARCHARHINUS LIMBATUS,BLACKTIP SHARK,Blacktip shark,06
blacktip shark,CARCHARHINUS LIMBATUS,"SHARK, BLACKTIP",Blacktip shark,06
dusky shark,CARCHARHINUS OBSCURUS,DUSKY SHARK,Dusky shark,07
dusky shark,CARCHARHINUS OBSCURUS,"SHARK, DUSKY",Dusky shark,07
sandbar shark,CARCHARHINUS PLUMBEUS,SANDBAR SHARK,Sandbar shark,08
sandbar shark,CARCHARHINUS PLUMBEUS,"SHARK, SANDBAR",Sandbar shark,08
large coastal sharks,CARCHARHINUS ALTIMUS,BIGNOSE SHARK,Large coastal sharks,09
large coastal sharks,CARCHARHINUS LEUCAS,BULL SHARK,Large coastal sharks,09
large coastal sharks,SPHYRNA MOKARRAN,GREAT HAMMERHEAD,Large coastal sharks,09
large coastal sharks,SPHYRNA,HAMMERHEAD SHARK GENUS,Large coastal sharks,09
large coastal sharks,SPHYRNA SPP.,HAMMERHEAD SHARK GENUS,Large coastal sharks,09
large coastal sharks,NEGAPRION BREVIROSTRIS,LEMON SHARK,Large coastal sharks,09
large coastal sharks,CARCHARHINUS SIGNATUS,NIGHT SHARK,Large coastal sharks,09
large coastal sharks,CARCHARHINUS PEREZI,REEF SHARK,Large coastal sharks,09
large coastal sharks,ODONTASPIS TAURUS,SAND TIGER,Large coastal sharks,09
large coastal sharks,SPHYRNA LEWINI,SCALLOPED HAMMERHEAD,Large coastal sharks,09
large coastal sharks,NA,SCALLOPED HAMMERHEAD SHARK,Large coastal sharks,09
large coastal sharks,CARCHARHINUS LEUCAS,"SHARK, BULL",Large coastal sharks,09
large coastal sharks,SPHYRNA MOKARRAN,"SHARK, GREAT HAMMERHEAD",Large coastal sharks,09
large coastal sharks,SPHYRNIDAE,"SHARK, HAMMERHEAD",Large coastal sharks,09
large coastal sharks,NEGAPRION BREVIROSTRIS,"SHARK, LEMON",Large coastal sharks,09
large coastal sharks,SPHYRNA LEWINI,"SHARK, SCALLOPED HAMMERHEAD",Large coastal sharks,09
large coastal sharks,CARCHARHINUS FALCIFORMIS,"SHARK, SILKY",Large coastal sharks,09
large coastal sharks,CARCHARHINUS BREVIPINNA,"SHARK, SPINNER",Large coastal sharks,09
large coastal sharks,GALEOCERDO CUVIER,"SHARK, TIGER",Large coastal sharks,09
large coastal sharks,CARCHARHINUS FALCIFORMIS,SILKY SHARK,Large coastal sharks,09
large coastal sharks,HEXANCHUS GRISEUS,SIXGILL SHARK,Large coastal sharks,09
large coastal sharks,SPHYRNA TUDES,SMALLEYE HAMMERHEAD,Large coastal sharks,09
large coastal sharks,SPHYRNA ZYGAENA,SMOOTH HAMMERHEAD,Large coastal sharks,09
large coastal sharks,CARCHARHINUS BREVIPINNA,SPINNER SHARK,Large coastal sharks,09
large coastal sharks,GALEOCERDO CUVIER,TIGER SHARK,Large coastal sharks,09
large coastal sharks,CARCHARHINUS BRACHYURUS,COPPER SHARK,Large coastal sharks,09
large coastal sharks,CARCHARIAS TAURUS,SAND TIGER,Large coastal sharks,09
large coastal sharks,CARCHARIAS TAURUS,SAND TIGER SHARK,Large coastal sharks,09
large coastal sharks,GALEOCERDO CUVIERI,TIGER SHARK,Large coastal sharks,09
large coastal sharks,ODONTASPIDIDAE,SAND TIGER,Large coastal sharks,09
large coastal sharks,SPHYRNA SP,HAMMERHEAD,Large coastal sharks,09
large coastal sharks,SPHYRNIDAE,HAMMERHEAD,Large coastal sharks,09
large oceanic sharks,PRIONACE GLAUCA,BLUE SHARK,Large oceanic sharks,10
large oceanic sharks,LAMNIDAE,MACKEREL SHARK FAMILY,Large oceanic sharks,10
large oceanic sharks,NA,MAKO SHARK,Large oceanic sharks,10
large oceanic sharks,CARCHARHINUS LONGIMANUS,OCEANIC WHITETIP SHARK,Large oceanic sharks,10
large oceanic sharks,ALOPIAS SUPERCILIOSUS,"SHARK, BIGEYE THRESHER",Large oceanic sharks,10
large oceanic sharks,ISURUS PAUCUS,"SHARK, LONGFIN MAKO",Large oceanic sharks,10
large oceanic sharks,LAMNA NASUS,"SHARK, PORBEAGLE",Large oceanic sharks,10
large oceanic sharks,ISURUS OXYRINCHUS,"SHARK, SHORTFIN MAKO",Large oceanic sharks,10
large oceanic sharks,ALOPIAS VULPINUS,"SHARK, THRESHER",Large oceanic sharks,10
large oceanic sharks,ISURUS OXYRINCHUS,SHORTFIN MAKO,Large oceanic sharks,10
large oceanic sharks,ALOPIAS VULPINUS,THRESHER SHARK,Large oceanic sharks,10
large oceanic sharks,ALOPIAS SUPERCILIOSUS,BIGEYE THRESHER,Large oceanic sharks,10
large oceanic sharks,ALOPIAS VULPINUS,COMMON THRESHER SHARK,Large oceanic sharks,10
large oceanic sharks,CARCHARODON CARCHARIAS,GREAT WHITE SHARK,Large oceanic sharks,10
large oceanic sharks,LAMNA NASUS,PORBEAGLE,Large oceanic sharks,10
atlantic sharpnose shark,RHIZOPRIONODON TERRAENOVAE,ATLANTIC SHARPNOSE SHARK,Atlantic sharpnose shark,11
atlantic sharpnose shark,RHIZOPRIONODON TERRAENOVAE,"SHARK, ATLANTIC SHARPNOSE",Atlantic sharpnose shark,11
atlantic sharpnose shark,NA,SHARPNOSE SHARK,Atlantic sharpnose shark,11
atlantic sharpnose shark,RHIZOPRIONODON ACUTUS,MILK SHARK,Atlantic sharpnose shark,11
small coastal sharks,CENTROSCYLLIUM FABRICII,BLACK DOGFISH,Small coastal sharks,12
small coastal sharks,CARCHARHINUS ACRONOTUS,BLACKNOSE SHARK,Small coastal sharks,12
small coastal sharks,SPHYRNA TIBURO,BONNETHEAD,Small coastal sharks,12
small coastal sharks,SQUALIDAE,DOGFISH SHARK,Small coastal sharks,12
small coastal sharks,CARCHARHINUS ISODON,FINETOOTH SHARK,Small coastal sharks,12
small coastal sharks,MUSTELUS NORRISI,FLORIDA SMOOTHHOUND,Small coastal sharks,12
small coastal sharks,CARCHARHINUS ACRONOTUS,"SHARK, BLACKNOSE",Small coastal sharks,12
small coastal sharks,SPHYRNA TIBURO,"SHARK, BONNETHEAD",Small coastal sharks,12
small coastal sharks,CARCHARHINUS ISODON,"SHARK, FINETOOTH",Small coastal sharks,12
small coastal sharks,CARCHARHINUS POROSUS,SMALLTAIL SHARK,Small coastal sharks,12
small coastal sharks,MUSTELUS CANIS,SMOOTH DOGFISH,Small coastal sharks,12
small coastal sharks,MUSTELUS,SMOOTHHOUND GENUS,Small coastal sharks,12
small coastal sharks,MUSTELUS SPP.,SMOOTHHOUND GENUS,Small coastal sharks,12
small coastal sharks,SQUALUS ACANTHIAS,SPINY DOGFISH,Small coastal sharks,12
small coastal sharks,CARCHARHINUS SEALEI,BLACKSPOT SHARK,Small coastal sharks,12
small coastal sharks,GALEORHINUS GALEUS,SOUPFIN SHARK,Small coastal sharks,12
small coastal sharks,MUSTELUS ANTARCTICUS,GUMMY SHARK,Small coastal sharks,12
small coastal sharks,MUSTELUS MUSTELUS,COMMON SMOOTHHOUND,Small coastal sharks,12
small coastal sharks,MUSTELUS PALUMBES,WHITESPOT SMOOTHHOUND,Small coastal sharks,12
small coastal sharks,MUSTELUS SCHMITTI,NARROWNOSE SMOOTHHOUND,Small coastal sharks,12
small coastal sharks,MUSTELUS SP,SMOOTHHOUND,Small coastal sharks,12
small coastal sharks,PETERODONTUS PORTUSJACKSONI,PORT JACKSON SHARK,Small coastal sharks,12
small coastal sharks,RHIZOPRIONODON SP,SMALL REQUIEM SHARK,Small coastal sharks,12
small coastal sharks,SPHYRNA TIBURO,BONNETHEAD SHARK,Small coastal sharks,12
small coastal sharks,SQUALIDAE,DOGFISH,Small coastal sharks,12
small coastal sharks,SQUALIFORMES,DOGFISH,Small coastal sharks,12
small coastal sharks,SQUALUS MEGALOPS,SHORTNOSE SPURDOG,Small coastal sharks,12
small coastal sharks,SQUALUS SP,DOGFISH,Small coastal sharks,12
small coastal sharks,TRIAKIS MEGALOPTERUS,SHARPTOOTH HOUNDSHARK,Small coastal sharks,12
yellowfin tuna,THUNNUS ALBACARES,"TUNA, YELLOWFIN",Yellowfin tuna,13
yellowfin tuna,THUNNUS ALBACARES,YELLOWFIN TUNA,Yellowfin tuna,13
bluefin tuna,THUNNUS THYNNUS,BLUEFIN TUNA,Bluefin tuna,14
bluefin tuna,THUNNUS THYNNUS,"TUNA, BLUEFIN",Bluefin tuna,14
bluefin tuna,THUNNUS MACCOYII,SOUTHERN BLUEFIN TUNA,Bluefin tuna,14
bluefin tuna,THUNNUS THYNNUS,ATLANTIC BLUEFIN TUNA,Bluefin tuna,14
other tuna,THUNNUS ALALUNGA,ALBACORE,Other tunas,15
other tuna,THUNNUS OBESUS,BIGEYE TUNA,Other tunas,15
other tuna,THUNNUS ATLANTICUS,BLACKFIN TUNA,Other tunas,15
other tuna,EUTHYNNUS PELAMIS,SKIPJACK TUNA,Other tunas,15
other tuna,KATSUWONUS PELAMIS,SKIPJACK TUNA,Other tunas,15
other tuna,THUNNUS ALALUNGA,"TUNA, ALBACORE",Other tunas,15
other tuna,THUNNUS OBESUS,"TUNA, BIGEYE",Other tunas,15
other tuna,THUNNUS ATLANTICUS,"TUNA, BLACKFIN",Other tunas,15
other tuna,EUTHYNNUS PELAMIS,"TUNA, SKIPJACK",Other tunas,15
other tuna,THUNNUS ALALUNGA,ALBACORE TUNA,Other tunas,15
billfish,ISTIOPHORIDAE,BILLFISH FAMILY,Billfish,16
billfish,ISTIOPHORIDAE,BILLFISHES,Billfish,16
billfish,MAKAIRA NIGRICANS,BLUE MARLIN,Billfish,16
lionfish,PTEROIS VOLITANS,LIONFISH,Billfish,16
lionfish,PTEROIS,LIONFISH GENUS,Billfish,16
billfish,TETRAPTURUS PFLUEGERI,LONGBILL SPEARFISH,Billfish,16
billfish,MAKAIRA NIGRICANS,"MARLIN, BLUE",Billfish,16
billfish,TETRAPTURUS ALBIDUS,"MARLIN, WHITE",Billfish,16
billfish,ISTIOPHORUS PLATYPTERUS,SAILFISH,Billfish,16
billfish,TETRAPTURUS ALBIDUS,WHITE MARLIN,Billfish,16
billfish,ISTIOPHORIDAE,BILLFISH,Billfish,16
billfish,ISTIOPHORUS ALBICANS,ATLANTIC SAILFISH,Billfish,16
billfish,ISTIOPHORUS ORIENTALIS,SAILFISH,Billfish,16
billfish,ISTIOPHORUS PLATYPTERUS,INDO-PACIFIC SAILFISH,Billfish,16
billfish,TETRAPTURUS ANGUISTIROSTRIS,SHORTBILL SPEARFISH,Billfish,16
billfish,TETRAPTURUS AUDAX,STRIPED MARLIN,Billfish,16
swordfish,XIPHIAS GLADIUS,SWORDFISH,Swordfish,17
swordfish,XIPHIAS GLADIAS,SWORDFISH,Swordfish,17
pelagic coastal piscivores,TYLOSURUS ACUS,AGUJON,Pelagic coastal piscivores,18
pelagic coastal piscivores,SERIOLA RIVOLIANA,ALMACO JACK,Pelagic coastal piscivores,18
pelagic coastal piscivores,SARDA SARDA,ATLANTIC BONITO,Pelagic coastal piscivores,18
pelagic coastal piscivores,SCOMBER SCOMBRUS,ATLANTIC MACKEREL,Pelagic coastal piscivores,18
pelagic coastal piscivores,STRONGYLURA MARINA,ATLANTIC NEEDLEFISH,Pelagic coastal piscivores,18
coastal piscivores,MEGALOPS ATLANTICUS,ATLANTIC TARPON,Pelagic coastal piscivores,18
pelagic coastal piscivores,SERIOLA ZONATA,BANDED RUDDERFISH,Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANX RUBER,BAR JACK,Pelagic coastal piscivores,18
coastal piscivores,MORONE SAXATILIS,"BASS, STRIPED",Pelagic coastal piscivores,18
