"EwE_num","EwE_name","Common","Sciname","Genus","Species","ID_sp"
"01, 02","Coastal dolphins","spotted dolphin","stenella frontalis","stenella","frontalis","Sp_001"
"01, 02","Coastal dolphins","bottlenose dolphin","tursiops truncatus","tursiops","truncatus","Sp_002"
"4","Seabird","american widgeon","anas americana","anas","americana","Sp_003"
"4","Seabird","blue-winged teal","anas discors","anas","discors","Sp_004"
"4","Seabird","mottled duck","anas fulvigula","anas","fulvigula","Sp_005"
"4","Seabird","black duck","anas rubripes","anas","rubripes","Sp_006"
"4","Seabird","gadwall","anas strepera","anas","strepera","Sp_007"
"4","Seabird","lesser scaup","aythya affinis","aythya","affinis","Sp_008"
"4","Seabird","redhead","aythya americana","aythya","americana","Sp_009"
"4","Seabird","canvasback","aythya valisineria","aythya","valisineria","Sp_010"
"4","Seabird","cory's shearwater","calonectris diomedea","calonectris","diomedea","Sp_011"
"4","Seabird","magnificent frigatebird","fregata magnificens","fregata","magnificens","Sp_012"
"4","Seabird","great frigatebird","fregata minor","fregata","minor","Sp_013"
"4","Seabird","american coot","fulica americana","fulica","americana","Sp_014"
"4","Seabird","common gallinule","gallinula galeata","gallinula","galeata","Sp_015"
"4","Seabird","common loon","gavia immer","gavia","immer","Sp_016"
"4","Seabird","bald eagle","haliaeetus leucocephalus","haliaeetus","leucocephalus","Sp_017"
"4","Seabird","herring gull","larus argentatus","larus","argentatus","Sp_018"
"4","Seabird","audouin’s gull","larus audouinii","larus","audouinii","Sp_019"
"4","Seabird","lesser blackbacked gull","larus fuscus","larus","fuscus","Sp_020"
"4","Seabird","redbreasted merganser","mergus serrator","mergus","serrator","Sp_021"
"4","Seabird","cape gannet","morus capensis","morus","capensis","Sp_022"
"4","Seabird","leach’s storm-petrel","oceanodroma leucorhoa","oceanodroma","leucorhoa","Sp_023"
"4","Seabird","wedge-rumped storm-petrel","oceanodroma tethys","oceanodroma","tethys","Sp_024"
"4","Seabird","ruddy duck","oxyura jamaicensis","oxyura","jamaicensis","Sp_025"
