EwE_num,EwE_name,Common,Sciname
"01, 02",Coastal dolphins,cetacean,cetacea
"01, 02",Coastal dolphins,dolphin,delphinidae
"01, 02",Coastal dolphins,oceanic dolphin,delphinidae
"01, 02",Coastal dolphins,dolphin,delphinus
"01, 02",Coastal dolphins,whale,odontoceti
"01, 02",Coastal dolphins,porpoise,phocoenidae
"01, 02",Coastal dolphins,spotted dolphin,stenella frontalis
"01, 02",Coastal dolphins,bottlenose dolphin,tursiops truncatus
4,Seabird,wood duck,aix sponsa
4,Seabird,american widgeon,anas americana
4,Seabird,blue-winged teal,anas discors
4,Seabird,mottled duck,anas fulvigula
4,Seabird,black duck,anas rubripes
4,Seabird,gadwall,anas strepera
4,Seabird,pintail,anatidae
4,Seabird,ducks and gulls,aves
4,Seabird,lesser scaup,aythya affinis
4,Seabird,redhead,aythya americana
4,Seabird,canvasback,aythya valisineria
4,Seabird,cory's shearwater,calonectris diomedea
4,Seabird,albatross,diomedeidae
4,Seabird,magnificent frigatebird,fregata magnificens
4,Seabird,great frigatebird,fregata minor
4,Seabird,american coot,fulica americana
4,Seabird,common gallinule,gallinula galeata
4,Seabird,common loon,gavia immer
4,Seabird,bald eagle,haliaeetus leucocephalus
4,Seabird,gull,laridae
4,Seabird,ring-billed gull,laridae
4,Seabird,herring gull,larus argentatus
4,Seabird,audouin’s gull,larus audouinii
4,Seabird,lesser blackbacked gull,larus fuscus
4,Seabird,surf scoter,melanitta perspicillata
4,Seabird,redbreasted merganser,mergus serrator
4,Seabird,cape gannet,morus capensis
4,Seabird,leach’s storm-petrel,oceanodroma leucorhoa
4,Seabird,wedge-rumped storm-petrel,oceanodroma tethys
4,Seabird,ruddy duck,oxyura jamaicensis
4,Seabird,osprey,pandion haliaetus
4,Seabird,white pelican,pelecanus erythrorhynchos
4,Seabird,brown pelican,pelicanus occidentalis
4,Seabird,double-crested cormorant,phalacrocorax auritus
4,Seabird,neotropical cormorant,phalacrocorax olivaceus
4,Seabird,great cormorant,phalacrocoraxc arbo
4,Seabird,pied-billed grebe,podilymbus podiceps
4,Seabird,sooty shearwater,puffinus griseus
4,Seabird,audubon shearwater,puffinus lherminieri
4,Seabird,wedgetailed shearwater,puffinus pacificus
4,Seabird,black skimmer,rynchops niger
4,Seabird,caspian tern,sterna caspia
4,Seabird,common tern,sterna hirundo
4,Seabird,royal tern,sterna maxima
4,Seabird,gullbilled tern,sterna nilotica
4,Seabird,sandwich tern,sterna sandvicensis
4,Seabird,masked booby,sula dactylatra
4,Seabird,common murre,uria aalge
5,Sea turtle,"turtle, green sea",chelonia mydas
5,Sea turtle,"turtle, loggerhead sea",caretta caretta
5,Sea turtle,loggerhead,caretta caretta
5,Sea turtle,loggerhead turtle,caretta caretta
5,Sea turtle,green sea turtle,chelonia mydas
5,Sea turtle,green turtle,chelonia mydas
5,Sea turtle,sea turtle,cheloniidae
5,Sea turtle,sea turtle,chelonioidea
5,Sea turtle,leatherback,dermochelys coriacea
5,Sea turtle,hawksbill turtle,eretmochelys imbricata
5,Sea turtle,kemps ridley turtle,lepidochelys kempi
6,Blacktip shark,blacktip shark,carcharhinus limbatus
